participant,item,name,rank
15,519,Lenny Wilkens,43
15,523,Lonnie Shelton,8
15,531,Lucious Jackson,1
15,552,Mark Aguirre,53
15,556,Marques Johnson,44
15,564,Maurice Lucas,39
15,583,Micheal Ray Richardson,48
15,607,Nate Archibald,29
15,610,Nate Thurmond,63
15,625,Norm Van Lier,4
15,631,Otis Birdsong,56
15,643,Paul Silas,7
15,644,Paul Westphal,6
15,647,Pete Maravich,28
15,648,Phil Chenier,9
15,650,Phil Smith,14
15,660,Ralph Sampson,67
15,662,Randy Smith,17
15,673,Reggie Theus,18
15,684,Rickey Green,57
15,700,Rolando Blackman,51
15,715,Sam Jones,40
15,736,Sidney Moncrief,32
15,737,Sidney Wicks,16
15,744,Spencer Haywood,37
15,763,Terry Porter,55
15,775,Tom Heinsohn,3
15,803,Walt Bellamy,42
15,805,Walt Frazier,27
15,807,Walter Davis,47
15,809,Wayne Embry,77
15,812,Wes Unseld,36
15,832,Zelmo Beaty,76
16,45,Archie Clark,16
16,65,Bill Bridges,33
16,69,Bill Russell,3
16,76,Bob Boozer,24
16,110,Buck Williams,8
16,121,Calvin Natt,44
16,122,Campy Russell,36
16,129,Cazzie Russell,26
16,136,Charles Thomas Scott,10
16,156,Clyde Drexler,5
16,173,Dan Roundfield,28
16,195,David Thompson,7
16,224,Dick Barnett,29
16,239,Don Ohl,21
16,253,Ed Macauley,40
16,256,Eddie Miles,18
16,260,Elgin Baylor,4
16,298,George Yardley,37
16,368,Jay Vincent,42
16,383,Jerry Sloan,14
16,392,Jim Pollard,41
16,414,John Drew,13
16,425,John Williamson,39
16,443,Julius Erving,1
16,449,K. C. Jones,11
16,450,Kareem Abdul-Jabbar,46
16,500,Larry Costello,25
16,505,Larry Nance,12
16,531,Lucious Jackson,34
16,532,Lucius Allen,35
16,607,Nate Archibald,6
16,625,Norm Van Lier,31
16,629,Orlando Woolridge,30
16,630,Oscar Robertson,2
16,652,Purvis Short,43
16,660,Ralph Sampson,9
16,673,Reggie Theus,20
16,709,Rudy Tomjanovich,15
16,739,Sleepy Floyd,32
