participant,itemA,itemB,recognizedA,recognizedB,aLarger,choiceA
114,137,8,0,0,0,0
114,97,96,1,0,0,1
114,62,110,1,0,1,1
114,139,33,0,0,0,0
114,120,9,0,1,0,0
114,17,142,1,0,1,1
114,25,84,1,1,1,1
114,26,74,1,1,1,1
114,73,41,1,1,0,1
114,138,37,0,1,0,0
114,29,64,1,0,1,1
114,55,132,0,1,1,1
114,127,130,0,0,1,1
114,72,27,1,0,0,1
114,126,117,0,0,0,0
114,76,77,1,0,1,1
114,112,101,0,0,0,1
114,128,21,0,1,0,0
114,56,61,0,0,1,1
114,150,1,1,1,0,0
114,14,89,1,0,1,1
114,11,43,1,1,1,1
114,39,81,1,0,1,1
114,102,94,0,0,0,0
114,36,145,1,0,1,1
114,125,123,0,1,0,0
114,88,57,0,0,0,1
114,105,13,0,1,0,0
114,28,80,0,0,1,1
114,15,18,0,0,1,0
114,16,65,1,0,1,1
114,79,2,0,1,0,0
114,86,93,0,0,1,1
114,121,134,1,1,1,1
114,116,70,0,0,0,0
114,53,122,0,0,1,1
114,133,10,0,0,0,0
114,6,124,1,0,1,1
114,35,67,0,0,1,1
115,22,114,0,0,1,0
115,44,63,0,0,1,0
115,98,24,0,0,0,0
115,100,118,0,0,1,0
115,38,42,0,0,1,0
115,4,32,0,0,1,1
115,54,40,0,1,0,0
115,149,12,0,0,0,0
115,83,19,0,0,0,0
115,119,148,0,0,1,0
115,82,49,0,0,0,1
115,146,131,0,0,0,0
115,99,111,0,0,1,1
115,104,3,0,1,0,0
115,90,91,0,0,1,0
115,5,75,0,0,1,1
115,59,140,0,0,1,1
115,51,78,0,0,1,1
115,135,115,0,0,0,1
115,45,71,0,0,1,0
115,69,23,0,1,0,0
115,50,34,0,0,0,0
115,66,85,0,0,1,0
115,92,46,0,0,0,0
115,113,31,0,0,0,1
115,141,30,0,0,0,0
115,136,68,0,0,0,1
115,103,108,0,0,1,1
115,106,47,0,0,0,0
115,109,144,0,0,1,0
115,52,48,0,0,0,1
115,147,60,0,0,0,0
115,143,20,0,0,0,1
115,87,129,0,0,1,1
115,95,7,0,1,0,0
115,58,107,0,0,1,0
115,137,8,0,0,0,0
115,97,96,0,0,0,1
115,62,110,0,0,1,1
115,139,33,0,0,0,0
115,120,9,0,0,0,0
115,17,142,1,0,1,1
115,25,84,0,0,1,0
115,26,74,0,0,1,0
115,73,41,0,1,0,0
115,138,37,0,0,0,0
115,29,64,0,0,1,1
115,55,132,0,0,1,1
115,127,130,0,0,1,1
115,72,27,0,0,0,1
115,126,117,0,0,0,0
115,76,77,0,0,1,1
115,112,101,0,0,0,0
115,128,21,0,1,0,0
115,56,61,0,0,1,1
115,150,1,0,0,0,0
115,14,89,0,0,1,0
115,11,43,1,1,1,1
115,39,81,0,1,1,0
115,102,94,0,1,0,0
115,36,145,0,0,1,0
115,125,123,0,0,0,1
115,88,57,0,0,0,1
115,105,13,0,0,0,0
115,28,80,0,0,1,1
115,15,18,0,0,1,0
115,16,65,0,0,1,1
115,79,2,1,0,0,1
115,86,93,0,0,1,0
115,121,134,0,0,1,1
115,116,70,0,0,0,0
115,53,122,0,0,1,0
115,133,10,0,0,0,0
115,6,124,1,0,1,1
115,35,67,0,0,1,0
116,22,114,0,0,1,0
116,44,63,1,1,1,1
116,98,24,0,1,0,0
116,100,118,0,0,1,1
116,38,42,0,1,1,0
116,4,32,1,0,1,1
116,54,40,0,1,0,0
116,149,12,0,1,0,0
116,83,19,0,0,0,0
116,119,148,0,0,1,0
116,82,49,0,0,0,0
116,146,131,0,0,0,1
116,99,111,0,0,1,0
116,104,3,0,0,0,0
116,90,91,0,1,1,0
116,5,75,1,0,1,1
116,59,140,0,1,1,0
116,51,78,0,0,1,0
116,135,115,0,0,0,0
116,45,71,0,0,1,1
116,69,23,0,0,0,1
116,50,34,0,1,0,0
116,66,85,0,0,1,0
116,92,46,0,0,0,0
116,113,31,0,1,0,0
116,141,30,0,0,0,0
116,136,68,1,0,0,1
116,103,108,0,0,1,0
116,106,47,0,0,0,1
116,109,144,0,0,1,1
116,52,48,0,0,0,0
116,147,60,0,0,0,0
116,143,20,0,0,0,0
116,87,129,0,0,1,1
116,95,7,0,0,0,0
116,58,107,0,0,1,0
116,137,8,0,1,0,0
116,97,96,0,0,0,0
116,62,110,1,0,1,1
116,139,33,0,0,0,1
116,120,9,0,0,0,0
116,17,142,1,0,1,1
116,25,84,0,0,1,0
116,26,74,0,0,1,1
116,73,41,0,0,0,1
116,138,37,0,0,0,1
116,29,64,0,0,1,1
116,55,132,0,0,1,1
116,127,130,0,0,1,1
116,72,27,0,0,0,1
116,126,117,0,0,0,0
116,76,77,0,0,1,1
116,112,101,0,0,0,0
116,128,21,0,0,0,0
116,56,61,0,0,1,0
116,150,1,0,1,0,0
116,14,89,1,0,1,1
116,11,43,0,0,1,0
116,39,81,0,0,1,0
116,102,94,0,0,0,0
116,36,145,0,0,1,1
116,125,123,0,0,0,0
116,88,57,0,0,0,1
116,105,13,0,0,0,1
116,28,80,0,0,1,1
116,15,18,0,1,1,0
116,16,65,1,0,1,1
116,79,2,0,1,0,0
116,86,93,0,0,1,1
116,121,134,0,0,1,1
116,116,70,0,0,0,1
116,53,122,0,0,1,1
116,133,10,0,1,0,0
116,6,124,0,0,1,1
116,35,67,0,0,1,1
117,22,114,1,0,1,1
117,44,63,1,1,1,1
117,98,24,0,1,0,0
117,100,118,0,1,1,0
117,38,42,0,1,1,0
117,4,32,1,0,1,1
117,54,40,1,0,0,1
117,149,12,0,1,0,0
117,83,19,0,0,0,0
117,119,148,0,0,1,0
117,82,49,0,0,0,0
117,146,131,0,0,0,1
117,99,111,1,0,1,1
117,104,3,0,1,0,0
117,90,91,1,1,1,0
117,5,75,1,0,1,1
117,59,140,0,0,1,0
117,51,78,0,0,1,0
117,135,115,0,0,0,0
117,45,71,0,0,1,1
117,69,23,0,0,0,0
117,50,34,0,0,0,0
117,66,85,0,0,1,0
117,92,46,0,0,0,1
117,113,31,0,0,0,0
117,141,30,0,0,0,1
117,136,68,1,0,0,1
117,103,108,0,0,1,1
117,106,47,0,0,0,1
117,109,144,1,0,1,1
117,52,48,0,0,0,0
117,147,60,0,1,0,0
117,143,20,0,0,0,0
117,87,129,0,0,1,1
117,95,7,0,1,0,0
117,58,107,0,1,1,0
117,137,8,1,1,0,0
117,97,96,0,0,0,1
117,62,110,1,0,1,1
117,139,33,0,0,0,1
117,120,9,1,1,0,1
117,17,142,1,0,1,1
117,25,84,0,1,1,0
117,26,74,1,1,1,1
117,73,41,1,0,0,1
117,138,37,0,0,0,1
117,29,64,1,0,1,1
117,55,132,0,0,1,1
117,127,130,0,0,1,0
117,72,27,0,0,0,1
117,126,117,0,0,0,0
117,76,77,0,0,1,1
117,112,101,0,0,0,0
117,128,21,0,0,0,0
117,56,61,0,0,1,1
117,150,1,0,0,0,0
117,14,89,1,0,1,1
117,11,43,0,1,1,0
117,39,81,0,0,1,1
117,102,94,0,0,0,0
117,36,145,1,0,1,1
117,125,123,0,1,0,0
117,88,57,0,0,0,1
117,105,13,0,0,0,0
117,28,80,0,0,1,1
117,15,18,1,1,1,0
117,16,65,1,0,1,1
117,79,2,0,1,0,0
117,86,93,0,0,1,1
117,121,134,0,0,1,0
117,116,70,0,1,0,0
117,53,122,0,0,1,0
117,133,10,0,0,0,0
117,6,124,0,0,1,1
117,35,67,0,0,1,0
118,22,114,0,0,1,1
118,44,63,0,0,1,1
118,98,24,0,1,0,1
118,100,118,0,0,1,0
118,38,42,0,1,1,0
118,4,32,1,0,1,1
118,54,40,0,1,0,0
118,149,12,0,1,0,0
118,83,19,0,1,0,0
118,119,148,0,0,1,0
118,82,49,0,0,0,0
118,146,131,0,0,0,0
118,99,111,0,0,1,1
118,104,3,0,1,0,0
118,90,91,0,1,1,0
118,5,75,1,0,1,1
118,59,140,1,0,1,0
118,51,78,0,1,1,0
118,135,115,1,0,0,0
118,45,71,1,0,1,1
118,69,23,0,0,0,1
118,50,34,1,0,0,1
118,66,85,1,0,1,1
118,92,46,0,0,0,1
118,113,31,0,0,0,0
118,141,30,1,0,0,1
118,136,68,1,0,0,1
118,103,108,0,0,1,1
118,106,47,0,0,0,1
118,109,144,0,0,1,1
118,52,48,0,0,0,0
118,147,60,0,0,0,0
118,143,20,0,0,0,1
118,87,129,0,0,1,1
118,95,7,0,1,0,0
118,58,107,0,0,1,1
118,137,8,0,0,0,0
118,97,96,0,0,0,1
118,62,110,1,0,1,1
118,139,33,0,0,0,1
118,120,9,0,1,0,0
118,17,142,0,0,1,1
118,25,84,0,0,1,0
118,26,74,1,0,1,1
118,73,41,1,1,0,1
118,138,37,0,0,0,1
118,29,64,1,0,1,1
118,55,132,0,0,1,1
118,127,130,0,0,1,0
118,72,27,0,0,0,1
118,126,117,0,0,0,0
118,76,77,1,0,1,1
118,112,101,0,0,0,1
118,128,21,0,0,0,0
118,56,61,0,0,1,0
118,150,1,0,1,0,0
118,14,89,1,0,1,1
118,11,43,0,0,1,0
118,39,81,0,0,1,0
118,102,94,0,0,0,1
118,36,145,1,0,1,0
118,125,123,0,0,0,0
118,88,57,0,0,0,0
118,105,13,0,0,0,0
118,28,80,0,0,1,1
118,15,18,0,0,1,0
118,16,65,1,0,1,1
118,79,2,0,1,0,0
118,86,93,0,0,1,1
118,121,134,0,0,1,0
118,116,70,0,0,0,1
118,53,122,0,0,1,0
118,133,10,0,0,0,0
118,6,124,1,0,1,1
118,35,67,0,0,1,1
119,22,114,0,0,1,0
119,44,63,0,1,1,0
119,98,24,0,1,0,0
119,100,118,0,0,1,0
119,38,42,0,0,1,0
119,4,32,1,0,1,1
119,54,40,0,0,0,0
119,149,12,0,1,0,0
119,83,19,0,0,0,0
119,119,148,0,0,1,0
119,82,49,0,0,0,0
119,146,131,0,0,0,0
119,99,111,0,0,1,1
119,104,3,0,0,0,0
119,90,91,1,1,1,0
119,5,75,1,0,1,1
119,59,140,0,0,1,0
119,51,78,0,0,1,0
119,135,115,0,0,0,0
119,45,71,0,0,1,1
119,69,23,0,0,0,0
119,50,34,0,1,0,1
119,66,85,0,0,1,1
119,92,46,0,0,0,1
119,113,31,0,0,0,0
119,141,30,0,0,0,1
119,136,68,0,0,0,1
119,103,108,0,1,1,0
119,106,47,0,0,0,1
119,109,144,0,0,1,1
119,52,48,0,1,0,0
119,147,60,0,0,0,0
119,143,20,0,0,0,0
119,87,129,0,0,1,1
119,95,7,0,1,0,0
119,58,107,0,0,1,0
119,137,8,0,0,0,0
119,97,96,0,0,0,1
119,62,110,1,0,1,1
119,139,33,0,0,0,1
119,120,9,0,0,0,0
119,17,142,0,0,1,1
119,25,84,0,0,1,0
119,26,74,1,0,1,1
119,73,41,1,0,0,1
119,138,37,0,0,0,1
119,29,64,1,0,1,1
119,55,132,1,0,1,1
119,127,130,0,0,1,0
119,72,27,1,0,0,1
119,126,117,0,0,0,1
119,76,77,0,0,1,1
119,112,101,0,0,0,1
119,128,21,0,0,0,1
119,56,61,0,0,1,0
119,150,1,0,1,0,0
119,14,89,1,0,1,1
119,11,43,0,0,1,1
119,39,81,0,0,1,0
119,102,94,0,0,0,0
119,36,145,1,0,1,1
119,125,123,0,0,0,0
119,88,57,0,0,0,1
119,105,13,0,0,0,1
119,28,80,0,0,1,1
119,15,18,1,0,1,1
119,16,65,1,0,1,1
119,79,2,0,1,0,0
119,86,93,0,0,1,0
119,121,134,0,0,1,0
119,116,70,0,0,0,0
119,53,122,0,0,1,1
119,133,10,0,0,0,1
119,6,124,0,0,1,0
119,35,67,0,0,1,0
120,22,114,0,0,1,0
120,44,63,1,1,1,1
120,98,24,0,1,0,0
120,100,118,0,0,1,1
120,38,42,0,1,1,1
120,4,32,1,0,1,0
120,54,40,0,1,0,1
120,149,12,0,1,0,0
120,83,19,0,0,0,0
120,119,148,0,0,1,0
120,82,49,0,0,0,0
120,146,131,0,0,0,0
120,99,111,0,0,1,1
120,104,3,0,0,0,0
120,90,91,0,1,1,1
120,5,75,1,0,1,1
120,59,140,0,0,1,1
120,51,78,0,0,1,1
120,135,115,0,0,0,0
120,45,71,0,0,1,0
120,69,23,0,0,0,1
120,50,34,1,0,0,0
120,66,85,0,0,1,1
120,92,46,0,0,0,0
120,113,31,0,0,0,0
120,141,30,0,0,0,0
120,136,68,0,0,0,1
120,103,108,0,0,1,1
120,106,47,1,0,0,1
120,109,144,0,0,1,1
120,52,48,0,0,0,1
120,147,60,0,0,0,0
120,143,20,0,1,0,0
120,87,129,0,0,1,0
120,95,7,0,1,0,0
120,58,107,0,1,1,0
120,137,8,0,0,0,1
120,97,96,0,0,0,0
120,62,110,1,0,1,0
120,139,33,0,0,0,1
120,120,9,0,0,0,0
120,17,142,0,0,1,1
120,25,84,0,0,1,1
120,26,74,1,0,1,1
120,73,41,1,0,0,1
120,138,37,0,0,0,1
120,29,64,1,0,1,1
120,55,132,0,0,1,0
120,127,130,0,0,1,1
120,72,27,1,0,0,0
120,126,117,0,0,0,0
120,76,77,0,0,1,0
120,112,101,0,0,0,0
120,128,21,0,0,0,0
120,56,61,0,0,1,0
120,150,1,0,1,0,0
120,14,89,1,0,1,1
120,11,43,0,0,1,0
120,39,81,0,0,1,0
120,102,94,0,0,0,0
120,36,145,1,0,1,1
120,125,123,0,0,0,1
120,88,57,0,0,0,1
120,105,13,0,0,0,0
120,28,80,1,0,1,1
120,15,18,1,1,1,0
120,16,65,0,0,1,1
120,79,2,0,1,0,1
120,86,93,0,0,1,0
120,121,134,0,0,1,1
120,116,70,0,0,0,1
