participant,itemA,itemB,recognizedA,recognizedB,aLarger
14,29,67,0,1,1
14,59,74,1,0,1
14,40,81,1,0,1
14,64,68,1,0,1
14,90,8,1,0,0
14,24,1,0,1,0
14,80,18,1,1,0
14,48,35,1,0,0
14,93,55,1,0,0
14,34,69,1,0,1
14,27,70,1,0,1
14,75,12,1,0,0
14,82,23,1,1,0
14,50,2,1,0,0
14,72,25,1,0,0
14,49,5,1,0,0
14,52,37,1,0,0
14,42,45,1,0,1
14,76,99,1,0,1
14,30,21,0,1,0
14,78,44,1,0,0
14,66,92,1,0,1
14,47,100,1,0,1
15,14,26,1,1,1
15,83,9,0,1,0
15,94,15,1,1,0
15,86,7,0,1,0
15,77,41,1,0,0
15,95,31,0,1,0
15,60,19,0,1,0
15,91,62,0,1,0
15,57,97,1,1,1
15,20,33,1,0,1
15,46,71,0,1,1
15,54,96,1,1,1
15,22,36,1,1,1
15,65,84,1,1,1
15,79,38,1,1,0
15,63,28,1,0,0
15,88,11,1,0,0
15,53,16,1,1,0
15,10,89,0,1,1
15,56,17,1,1,0
15,58,73,1,1,1
15,98,6,1,0,0
15,3,85,1,1,1
15,4,32,1,0,1
15,13,51,1,1,1
15,39,43,0,1,1
15,87,61,1,0,0
15,29,67,1,1,1
15,74,59,1,1,0
15,40,81,1,1,1
15,64,68,0,1,1
15,90,8,0,1,0
15,1,24,1,1,1
15,80,18,1,1,0
15,35,48,0,1,1
15,55,93,1,1,1
15,69,34,0,1,0
15,27,70,1,0,1
15,75,12,1,1,0
15,82,23,1,1,0
15,2,50,0,1,1
15,72,25,1,1,0
15,49,5,0,1,0
15,52,37,0,1,0
15,45,42,1,1,0
15,76,99,1,0,1
15,21,30,1,0,1
15,44,78,0,1,1
15,92,66,0,1,0
15,47,100,0,1,1
16,26,14,0,1,0
16,83,9,1,0,0
16,94,15,1,0,0
16,7,86,0,1,1
16,77,41,0,1,0
16,31,95,0,1,1
16,19,60,0,1,1
16,91,62,1,0,0
16,97,57,1,0,0
16,20,33,0,1,1
16,71,46,1,0,0
16,96,54,0,1,0
16,36,22,0,1,0
16,84,65,1,0,0
16,38,79,0,1,1
16,28,63,0,1,1
16,11,88,1,0,1
16,53,16,1,0,0
16,10,89,1,0,1
16,56,17,0,1,0
16,58,73,0,1,1
16,98,6,1,0,0
16,3,85,1,0,1
16,4,32,0,1,1
16,13,51,0,1,1
16,39,43,1,0,1
16,61,87,0,1,1
16,29,67,1,0,1
16,59,74,1,0,1
16,81,40,0,1,0
16,64,68,1,0,1
16,90,8,0,1,0
16,1,24,1,0,1
16,80,18,1,0,0
16,48,35,0,1,0
16,93,55,1,0,0
16,69,34,0,1,0
16,27,70,1,0,1
16,75,12,1,0,0
16,82,23,0,1,0
16,2,50,1,0,1
16,25,72,0,1,1
16,5,49,1,0,1
16,52,37,1,0,0
16,45,42,1,0,0
16,76,99,0,1,1
16,21,30,0,1,1
16,44,78,0,1,1
16,66,92,1,0,1
16,47,100,1,0,1
17,14,26,1,1,1
17,9,83,1,1,1
17,94,15,1,0,0
17,86,7,1,0,0
17,77,41,1,1,0
17,95,31,1,0,0
17,19,60,1,1,1
17,91,62,1,1,0
17,57,97,1,1,1
17,20,33,0,1,1
17,71,46,1,1,0
17,96,54,1,0,0
17,36,22,1,1,0
17,84,65,0,0,0
17,38,79,1,1,1
17,28,63,1,0,1
17,11,88,0,0,1
17,16,53,1,1,1
17,89,10,0,1,0
17,17,56,1,0,1
17,58,73,1,1,1
17,6,98,0,1,1
17,3,85,1,1,1
17,32,4,1,1,0
17,13,51,1,1,1
17,39,43,0,1,1
17,61,87,1,1,1
17,67,29,1,0,0
17,59,74,0,1,1
17,81,40,1,1,0
17,64,68,1,1,1
17,8,90,1,0,1
17,24,1,1,1,0
17,18,80,1,1,1
17,48,35,1,1,0
17,93,55,1,1,0
17,34,69,1,1,1
17,27,70,0,1,1
17,12,75,1,1,1
17,23,82,1,0,1
17,2,50,1,0,1
17,25,72,1,1,1
17,5,49,1,1,1
17,52,37,1,1,0
17,45,42,1,1,0
17,99,76,1,0,0
17,21,30,1,1,1
17,78,44,0,1,0
17,92,66,1,1,0
17,100,47,0,1,0
18,26,14,1,1,0
18,9,83,1,1,1
18,15,94,0,0,1
18,86,7,1,0,0
18,41,77,1,0,1
18,95,31,0,0,0
18,19,60,1,0,1
18,62,91,1,0,1
18,57,97,1,0,1
18,33,20,1,0,0
18,71,46,1,0,0
18,96,54,1,0,0
18,22,36,1,1,1
18,84,65,0,0,0
18,79,38,1,1,0
18,28,63,0,0,1
18,11,88,0,0,1
18,16,53,1,1,1
18,89,10,0,0,0
18,17,56,1,0,1
18,73,58,1,0,0
18,98,6,1,0,0
18,3,85,1,0,1
18,32,4,1,0,0
18,13,51,1,1,1
18,43,39,1,0,0
18,87,61,1,1,0
18,67,29,1,0,0
18,74,59,1,0,0
18,40,81,1,1,1
18,64,68,1,0,1
18,8,90,1,0,1
18,1,24,1,0,1
18,18,80,1,0,1
18,48,35,1,1,0
18,55,93,1,0,1
18,34,69,1,0,1
18,70,27,0,0,0
18,12,75,1,1,1
18,23,82,1,0,1
18,2,50,1,0,1
18,25,72,1,1,1
18,5,49,1,0,1
18,37,52,1,1,1
18,42,45,1,1,1
18,99,76,1,0,0
18,21,30,1,0,1
18,44,78,1,0,1
18,66,92,1,0,1
18,100,47,0,0,0
19,26,14,1,1,0
19,9,83,1,1,1
19,15,94,0,0,1
19,7,86,0,1,1
19,41,77,1,1,1
19,95,31,1,0,0
19,19,60,1,1,1
19,62,91,1,0,1
19,57,97,1,0,1
19,33,20,1,0,0
19,46,71,0,0,1
19,54,96,0,1,1
19,36,22,1,1,0
19,84,65,0,0,0
19,79,38,1,1,0
19,63,28,0,0,0
19,11,88,1,0,1
19,16,53,1,1,1
19,89,10,1,0,0
19,17,56,1,0,1
19,73,58,1,1,0
19,98,6,1,0,0
19,3,85,1,1,1
19,4,32,1,1,1
19,13,51,1,1,1
19,39,43,0,1,1
19,87,61,1,1,0
19,29,67,0,1,1
19,74,59,1,0,0
19,40,81,1,1,1
19,64,68,1,1,1
19,8,90,1,0,1
19,1,24,1,1,1
19,18,80,1,0,1
19,35,48,1,1,1
19,55,93,1,1,1
19,34,69,1,0,1
19,27,70,0,0,1
19,12,75,1,1,1
19,82,23,0,1,0
19,2,50,1,0,1
19,25,72,1,1,1
19,5,49,1,1,1
19,37,52,1,1,1
19,45,42,1,1,0
19,99,76,1,0,0
19,30,21,1,1,0
19,78,44,1,1,0
19,66,92,1,0,1
19,100,47,0,0,0
20,26,14,1,1,0
20,9,83,1,0,1
20,15,94,0,0,1
20,86,7,0,0,0
20,41,77,1,0,1
20,31,95,0,0,1
20,19,60,1,0,1
20,62,91,0,0,1
20,57,97,1,0,1
20,20,33,0,1,1
20,71,46,0,0,0
20,96,54,1,0,0
20,36,22,1,0,0
20,84,65,0,0,0
20,79,38,1,0,0
20,28,63,0,0,1
20,11,88,0,0,1
20,16,53,1,1,1
20,89,10,0,0,0
