participant,itemA,itemB,recognizedA,recognizedB,aLarger
10,77,61,1,0,0
10,4,53,1,1,1
10,6,84,1,0,1
10,37,73,1,0,1
11,100,21,1,1,0
11,96,47,1,1,0
11,12,44,1,1,1
11,87,71,1,1,0
11,56,92,1,1,1
11,66,2,1,1,0
11,7,50,1,1,1
11,19,81,1,1,1
11,51,11,1,1,0
11,83,10,1,1,0
11,43,45,1,1,1
11,15,17,1,1,0
11,72,68,1,0,0
11,52,89,1,1,1
11,65,28,1,1,0
11,3,20,1,1,1
11,74,24,1,1,0
11,82,18,1,1,0
11,25,98,1,1,1
11,38,62,1,1,1
11,69,16,1,1,0
11,79,63,1,0,0
11,8,22,1,0,1
11,14,67,1,1,1
11,58,1,1,1,0
11,36,85,1,1,1
11,70,86,1,1,1
11,95,91,1,1,0
11,31,42,1,0,1
11,49,26,1,1,0
11,33,97,1,1,1
11,59,48,1,1,0
11,35,57,1,1,1
11,13,55,1,1,1
11,32,88,1,1,1
11,76,93,1,1,1
11,27,46,1,1,1
11,60,39,1,1,0
11,94,90,1,1,0
11,34,64,1,1,1
11,41,40,1,1,0
11,78,29,1,1,0
11,9,23,1,1,1
11,75,99,1,1,1
11,5,80,1,1,1
11,54,30,0,0,0
11,77,61,1,1,0
11,53,4,1,1,0
11,6,84,1,1,1
11,37,73,1,1,1
12,100,21,1,0,0
12,96,47,0,0,0
12,12,44,1,0,1
12,87,71,1,0,0
12,56,92,0,0,1
12,66,2,1,0,0
12,7,50,1,1,1
12,19,81,1,0,1
12,51,11,1,1,0
12,83,10,1,1,0
12,43,45,1,1,1
12,15,17,1,0,0
12,72,68,1,0,0
12,89,52,1,1,0
12,65,28,1,0,0
12,20,3,1,1,0
12,74,24,1,0,0
12,18,82,1,1,1
12,25,98,1,0,1
12,38,62,1,1,1
12,69,16,1,0,0
12,79,63,1,0,0
12,8,22,1,0,1
12,14,67,1,1,1
12,1,58,1,1,1
12,36,85,1,1,1
12,70,86,1,1,1
12,91,95,1,1,1
12,31,42,1,0,1
12,49,26,1,0,0
12,33,97,1,0,1
12,48,59,1,1,1
12,35,57,1,1,1
12,55,13,1,0,0
12,88,32,1,1,0
12,93,76,1,1,0
12,27,46,1,1,1
12,39,60,1,1,1
12,90,94,1,0,0
12,34,64,1,0,1
12,41,40,0,0,0
12,29,78,1,0,1
12,9,23,1,0,1
12,75,99,1,0,1
12,5,80,1,1,1
12,30,54,0,0,1
12,77,61,1,1,0
12,4,53,1,1,1
12,6,84,1,0,1
12,37,73,1,0,1
13,21,100,1,0,1
13,47,96,1,0,1
13,12,44,1,0,1
13,87,71,1,0,0
13,56,92,1,0,1
13,66,2,1,0,0
13,7,50,1,0,1
13,19,81,1,0,1
13,11,51,1,0,1
13,10,83,1,0,1
13,45,43,1,0,0
13,17,15,1,0,0
13,68,72,1,0,1
13,89,52,1,0,0
13,65,28,1,0,0
13,20,3,1,0,0
13,74,24,1,0,0
13,18,82,1,0,1
13,98,25,1,0,0
13,38,62,1,0,1
13,69,16,1,0,0
13,63,79,1,0,1
13,8,22,1,0,1
13,14,67,1,0,1
13,58,1,1,0,0
13,36,85,1,0,1
13,70,86,1,0,1
13,95,91,1,0,0
13,31,42,1,0,1
13,26,49,1,0,1
13,97,33,1,0,0
13,59,48,1,0,0
13,57,35,1,0,0
13,13,55,1,0,1
13,88,32,1,0,0
13,93,76,1,0,0
13,27,46,1,0,1
13,39,60,1,0,1
13,90,94,1,0,0
13,34,64,1,0,1
13,41,40,1,0,0
13,29,78,1,0,1
13,9,23,1,0,1
13,99,75,1,0,0
13,80,5,1,0,0
13,54,30,1,0,0
13,61,77,1,0,1
13,4,53,1,0,1
13,6,84,1,0,1
13,73,37,1,0,0
14,21,100,0,1,1
14,96,47,0,0,0
14,12,44,0,0,1
14,71,87,0,0,1
14,56,92,0,0,1
14,2,66,0,1,1
14,7,50,1,0,1
14,81,19,0,0,0
14,11,51,1,0,1
14,83,10,0,0,0
14,43,45,0,1,1
14,15,17,0,0,0
14,72,68,0,1,0
14,89,52,1,0,0
14,65,28,0,0,0
14,3,20,0,1,1
14,74,24,1,0,0
14,82,18,0,1,0
14,98,25,0,1,0
14,38,62,0,1,1
14,69,16,1,0,0
14,63,79,0,0,1
14,22,8,1,0,0
14,14,67,0,0,1
14,1,58,0,1,1
14,36,85,1,0,1
14,86,70,1,0,0
14,91,95,0,1,1
14,31,42,0,1,1
14,49,26,0,0,0
14,97,33,0,1,0
14,59,48,0,0,0
14,57,35,0,1,0
14,55,13,0,0,0
14,32,88,0,0,1
14,93,76,0,0,0
14,46,27,0,1,0
14,60,39,0,1,0
14,94,90,0,0,0
14,34,64,0,1,1
14,41,40,0,0,0
14,78,29,0,1,0
14,9,23,0,1,1
14,99,75,1,0,0
14,80,5,0,1,0
14,54,30,0,0,0
14,77,61,1,0,0
14,53,4,0,1,0
14,6,84,0,1,1
14,37,73,0,0,1
15,100,21,1,0,0
15,96,47,1,0,0
15,44,12,0,1,0
15,87,71,1,0,0
15,56,92,0,1,1
15,66,2,1,1,0
15,7,50,0,1,1
15,81,19,0,1,0
15,11,51,0,1,1
15,83,10,1,0,0
15,45,43,1,1,0
15,15,17,0,1,0
15,68,72,1,0,1
