environment,item,criterion,cue,cueValue
Bridges,Atchafalaya Basin Bridge,96100.0,Cable-Stayed,1
Bridges,Atchafalaya Basin Bridge,96100.0,Suspension,1
Bridges,Atchafalaya Basin Bridge,96100.0,Steel,1
Bridges,Atchafalaya Basin Bridge,96100.0,Concrete,0
Bridges,Atchafalaya Basin Bridge,96100.0,Rail,0
Bridges,Atchafalaya Basin Bridge,96100.0,Car,0
Bridges,Louisiana Highway 1 Bridge,95000.0,Toll,1
Bridges,Louisiana Highway 1 Bridge,95000.0,Capital,0
Bridges,Louisiana Highway 1 Bridge,95000.0,Guinness,0
Bridges,Louisiana Highway 1 Bridge,95000.0,Long,0
Bridges,Louisiana Highway 1 Bridge,95000.0,Viaduct,0
Bridges,Louisiana Highway 1 Bridge,95000.0,Box-Girder,1
Bridges,Louisiana Highway 1 Bridge,95000.0,Cable-Stayed,1
Bridges,Louisiana Highway 1 Bridge,95000.0,Suspension,1
Bridges,Louisiana Highway 1 Bridge,95000.0,Steel,0
Bridges,Louisiana Highway 1 Bridge,95000.0,Concrete,1
Bridges,Louisiana Highway 1 Bridge,95000.0,Rail,0
Bridges,Louisiana Highway 1 Bridge,95000.0,Car,0
Bridges,Jiaozhou Bay Bridge,87621.0,Toll,1
Bridges,Jiaozhou Bay Bridge,87621.0,Capital,0
Bridges,Jiaozhou Bay Bridge,87621.0,Guinness,1
Bridges,Jiaozhou Bay Bridge,87621.0,Long,0
Bridges,Jiaozhou Bay Bridge,87621.0,Viaduct,0
Bridges,Jiaozhou Bay Bridge,87621.0,Box-Girder,1
Bridges,Jiaozhou Bay Bridge,87621.0,Cable-Stayed,0
Bridges,Jiaozhou Bay Bridge,87621.0,Suspension,0
Bridges,Jiaozhou Bay Bridge,87621.0,Steel,1
Bridges,Jiaozhou Bay Bridge,87621.0,Concrete,1
Bridges,Jiaozhou Bay Bridge,87621.0,Rail,0
Bridges,Jiaozhou Bay Bridge,87621.0,Car,0
Bridges,Jintang Bridge,87070.0,Toll,0
Bridges,Jintang Bridge,87070.0,Capital,0
Bridges,Jintang Bridge,87070.0,Guinness,0
Bridges,Jintang Bridge,87070.0,Long,0
Bridges,Jintang Bridge,87070.0,Viaduct,0
Bridges,Jintang Bridge,87070.0,Box-Girder,1
Bridges,Jintang Bridge,87070.0,Cable-Stayed,0
Bridges,Jintang Bridge,87070.0,Suspension,1
Bridges,Jintang Bridge,87070.0,Steel,1
Bridges,Jintang Bridge,87070.0,Concrete,1
Bridges,Jintang Bridge,87070.0,Rail,0
Bridges,Jintang Bridge,87070.0,Car,0
Bridges,King Fahd Causeway Bridge 1,82000.0,Toll,0
Bridges,King Fahd Causeway Bridge 1,82000.0,Capital,0
Bridges,King Fahd Causeway Bridge 1,82000.0,Guinness,0
Bridges,King Fahd Causeway Bridge 1,82000.0,Long,1
Bridges,King Fahd Causeway Bridge 1,82000.0,Viaduct,0
Bridges,King Fahd Causeway Bridge 1,82000.0,Box-Girder,1
Bridges,King Fahd Causeway Bridge 1,82000.0,Cable-Stayed,1
Bridges,King Fahd Causeway Bridge 1,82000.0,Suspension,1
Bridges,King Fahd Causeway Bridge 1,82000.0,Steel,0
Bridges,King Fahd Causeway Bridge 1,82000.0,Concrete,1
Bridges,King Fahd Causeway Bridge 1,82000.0,Rail,0
Bridges,King Fahd Causeway Bridge 1,82000.0,Car,0
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Toll,1
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Capital,0
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Guinness,0
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Long,1
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Viaduct,0
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Box-Girder,1
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Cable-Stayed,1
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Suspension,1
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Steel,1
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Concrete,0
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Rail,0
Bridges,Chesapeake Bay Bridge-Tunnel,79200.0,Car,0
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Toll,1
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Capital,0
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Guinness,0
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Long,1
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Viaduct,0
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Box-Girder,1
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Cable-Stayed,0
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Suspension,1
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Steel,1
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Concrete,0
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Rail,0
Bridges,Sultan Abdul Halim Muadzam Shah Bridge,79000.0,Car,0
Bridges,6th October Bridge,67300.0,Toll,0
Bridges,6th October Bridge,67300.0,Capital,1
Bridges,6th October Bridge,67300.0,Guinness,0
Bridges,6th October Bridge,67300.0,Long,1
Bridges,6th October Bridge,67300.0,Viaduct,1
Bridges,6th October Bridge,67300.0,Box-Girder,1
Bridges,6th October Bridge,67300.0,Cable-Stayed,0
Bridges,6th October Bridge,67300.0,Suspension,1
Bridges,6th October Bridge,67300.0,Steel,1
Bridges,6th October Bridge,67300.0,Concrete,1
Bridges,6th October Bridge,67300.0,Rail,0
Bridges,6th October Bridge,67300.0,Car,0
Bridges,C215 Viaduct,66000.0,Toll,0
Bridges,C215 Viaduct,66000.0,Capital,1
Bridges,C215 Viaduct,66000.0,Guinness,0
Bridges,C215 Viaduct,66000.0,Long,1
Bridges,C215 Viaduct,66000.0,Viaduct,1
Bridges,C215 Viaduct,66000.0,Box-Girder,0
Bridges,C215 Viaduct,66000.0,Cable-Stayed,1
Bridges,C215 Viaduct,66000.0,Suspension,1
Bridges,C215 Viaduct,66000.0,Steel,1
Bridges,C215 Viaduct,66000.0,Concrete,1
Bridges,C215 Viaduct,66000.0,Rail,1
Bridges,C215 Viaduct,66000.0,Car,1
Bridges,Incheon Bridge,60315.0,Toll,1
Bridges,Incheon Bridge,60315.0,Capital,0
Bridges,Incheon Bridge,60315.0,Guinness,0
Bridges,Incheon Bridge,60315.0,Long,1
Bridges,Incheon Bridge,60315.0,Viaduct,0
Bridges,Incheon Bridge,60315.0,Box-Girder,1
Bridges,Incheon Bridge,60315.0,Cable-Stayed,0
Bridges,Incheon Bridge,60315.0,Suspension,1
Bridges,Incheon Bridge,60315.0,Steel,1
Bridges,Incheon Bridge,60315.0,Concrete,1
Bridges,Incheon Bridge,60315.0,Rail,0
Bridges,Incheon Bridge,60315.0,Car,0
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Toll,0
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Capital,0
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Guinness,0
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Long,0
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Viaduct,0
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Box-Girder,1
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Cable-Stayed,1
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Suspension,1
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Steel,0
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Concrete,1
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Rail,0
Bridges,Bonnet Carre Spillway Bridge of I-10,58077.0,Car,0
Bridges,Vasco de Gama Bridge,56381.0,Toll,1
Bridges,Vasco de Gama Bridge,56381.0,Capital,1
Bridges,Vasco de Gama Bridge,56381.0,Guinness,0
Bridges,Vasco de Gama Bridge,56381.0,Long,1
Bridges,Vasco de Gama Bridge,56381.0,Viaduct,0
Bridges,Vasco de Gama Bridge,56381.0,Box-Girder,1
Bridges,Vasco de Gama Bridge,56381.0,Cable-Stayed,0
Bridges,Vasco de Gama Bridge,56381.0,Suspension,1
Bridges,Vasco de Gama Bridge,56381.0,Steel,0
Bridges,Vasco de Gama Bridge,56381.0,Concrete,1
Bridges,Vasco de Gama Bridge,56381.0,Rail,0
Bridges,Vasco de Gama Bridge,56381.0,Car,0
Bridges,Kama Bridge,45823.0,Toll,0
Bridges,Kama Bridge,45823.0,Capital,0
Bridges,Kama Bridge,45823.0,Guinness,0
Bridges,Kama Bridge,45823.0,Long,1
Bridges,Kama Bridge,45823.0,Viaduct,0
Bridges,Kama Bridge,45823.0,Box-Girder,1
Bridges,Kama Bridge,45823.0,Cable-Stayed,1
Bridges,Kama Bridge,45823.0,Suspension,1
Bridges,Kama Bridge,45823.0,Steel,1
Bridges,Kama Bridge,45823.0,Concrete,1
Bridges,Kama Bridge,45823.0,Rail,0
Bridges,Kama Bridge,45823.0,Car,0
Bridges,Penang Bridge,44300.0,Toll,1
Bridges,Penang Bridge,44300.0,Capital,0
Bridges,Penang Bridge,44300.0,Guinness,0
Bridges,Penang Bridge,44300.0,Long,0
Bridges,Penang Bridge,44300.0,Viaduct,0
Bridges,Penang Bridge,44300.0,Box-Girder,1
