environment,item,criterion,cue,cueValue,year
United States,Nashville,579748.0,National Capital,0,2005
United States,Denver,561323.0,State Capital,1,2005
United States,Denver,561323.0,Sport Team,1,2005
United States,Denver,561323.0,Airport,1,2005
United States,Denver,561323.0,Metro Station,0,2005
United States,Denver,561323.0,Rail Station,1,2005
United States,Denver,561323.0,Exposition Site,0,2005
United States,Denver,561323.0,National Capital,0,2005
United States,Louisville,559855.0,State Capital,0,2005
United States,Louisville,559855.0,Sport Team,0,2005
United States,Louisville,559855.0,Airport,1,2005
United States,Louisville,559855.0,Metro Station,0,2005
United States,Louisville,559855.0,Rail Station,0,2005
United States,Louisville,559855.0,Exposition Site,0,2005
United States,Louisville,559855.0,National Capital,0,2005
United States,Milwaukee,601983.0,State Capital,0,2005
United States,Milwaukee,601983.0,Sport Team,1,2005
United States,Milwaukee,601983.0,Airport,1,2005
United States,Milwaukee,601983.0,Metro Station,0,2005
United States,Milwaukee,601983.0,Rail Station,1,2005
United States,Milwaukee,601983.0,Exposition Site,0,2005
United States,Milwaukee,601983.0,National Capital,0,2005
United States,Portland,534112.0,State Capital,0,2005
United States,Portland,534112.0,Sport Team,1,2005
United States,Portland,534112.0,Airport,1,2005
United States,Portland,534112.0,Metro Station,0,2005
United States,Portland,534112.0,Rail Station,0,2005
United States,Portland,534112.0,Exposition Site,0,2005
United States,Portland,534112.0,National Capital,0,2005
United States,Las Vegas,544806.0,State Capital,0,2005
United States,Las Vegas,544806.0,Sport Team,0,2005
United States,Las Vegas,544806.0,Airport,1,2005
United States,Las Vegas,544806.0,Metro Station,0,2005
United States,Las Vegas,544806.0,Rail Station,0,2005
United States,Las Vegas,544806.0,Exposition Site,0,2005
United States,Las Vegas,544806.0,National Capital,0,2005
United States,Oklahoma City,532006.0,State Capital,1,2005
United States,Oklahoma City,532006.0,Sport Team,0,2005
United States,Oklahoma City,532006.0,Airport,1,2005
United States,Oklahoma City,532006.0,Metro Station,0,2005
United States,Oklahoma City,532006.0,Rail Station,0,2005
United States,Oklahoma City,532006.0,Exposition Site,0,2005
United States,Oklahoma City,532006.0,National Capital,0,2005
United States,Albuquerque,497543.0,State Capital,0,2005
United States,Albuquerque,497543.0,Sport Team,0,2005
United States,Albuquerque,497543.0,Airport,1,2005
United States,Albuquerque,497543.0,Metro Station,0,2005
United States,Albuquerque,497543.0,Rail Station,0,2005
United States,Albuquerque,497543.0,Exposition Site,0,2005
United States,Albuquerque,497543.0,National Capital,0,2005
United States,Tucson,524830.0,State Capital,0,2005
United States,Tucson,524830.0,Sport Team,0,2005
United States,Tucson,524830.0,Airport,0,2005
United States,Tucson,524830.0,Metro Station,0,2005
United States,Tucson,524830.0,Rail Station,0,2005
United States,Tucson,524830.0,Exposition Site,0,2005
United States,Tucson,524830.0,National Capital,0,2005
United States,Fresno,456574.0,State Capital,0,2005
United States,Fresno,456574.0,Sport Team,0,2005
United States,Fresno,456574.0,Airport,1,2005
United States,Fresno,456574.0,Metro Station,0,2005
United States,Fresno,456574.0,Rail Station,0,2005
United States,Fresno,456574.0,Exposition Site,0,2005
United States,Fresno,456574.0,National Capital,0,2005
United States,Sacramento,448842.0,State Capital,1,2005
United States,Sacramento,448842.0,Sport Team,1,2005
United States,Sacramento,448842.0,Airport,1,2005
United States,Sacramento,448842.0,Metro Station,0,2005
United States,Sacramento,448842.0,Rail Station,0,2005
United States,Sacramento,448842.0,Exposition Site,0,2005
United States,Sacramento,448842.0,National Capital,0,2005
United States,Long Beach,467851.0,State Capital,0,2005
United States,Long Beach,467851.0,Sport Team,0,2005
United States,Long Beach,467851.0,Airport,1,2005
United States,Long Beach,467851.0,Metro Station,0,2005
United States,Long Beach,467851.0,Rail Station,0,2005
United States,Long Beach,467851.0,Exposition Site,0,2005
United States,Long Beach,467851.0,National Capital,0,2005
United States,Kansas City,463983.0,State Capital,0,2005
United States,Kansas City,463983.0,Sport Team,0,2005
United States,Kansas City,463983.0,Airport,1,2005
United States,Kansas City,463983.0,Metro Station,0,2005
United States,Kansas City,463983.0,Rail Station,1,2005
United States,Kansas City,463983.0,Exposition Site,0,2005
United States,Kansas City,463983.0,National Capital,0,2005
United States,Mesa,450948.0,State Capital,0,2005
United States,Mesa,450948.0,Sport Team,0,2005
United States,Mesa,450948.0,Airport,1,2005
United States,Mesa,450948.0,Metro Station,0,2005
United States,Mesa,450948.0,Rail Station,0,2005
United States,Mesa,450948.0,Exposition Site,0,2005
United States,Mesa,450948.0,National Capital,0,2005
United States,Virginia Beach,437464.0,State Capital,0,2005
United States,Virginia Beach,437464.0,Sport Team,0,2005
United States,Virginia Beach,437464.0,Airport,0,2005
United States,Virginia Beach,437464.0,Metro Station,0,2005
United States,Virginia Beach,437464.0,Rail Station,0,2005
United States,Virginia Beach,437464.0,Exposition Site,0,2005
United States,Virginia Beach,437464.0,National Capital,0,2005
United States,Atlanta,483108.0,State Capital,1,2005
United States,Atlanta,483108.0,Sport Team,1,2005
United States,Atlanta,483108.0,Airport,1,2005
United States,Atlanta,483108.0,Metro Station,1,2005
United States,Atlanta,483108.0,Rail Station,0,2005
United States,Atlanta,483108.0,Exposition Site,0,2005
United States,Atlanta,483108.0,National Capital,0,2005
United States,Colorado Springs,393804.0,State Capital,0,2005
United States,Colorado Springs,393804.0,Sport Team,0,2005
United States,Colorado Springs,393804.0,Airport,1,2005
United States,Colorado Springs,393804.0,Metro Station,0,2005
United States,Colorado Springs,393804.0,Rail Station,0,2005
United States,Colorado Springs,393804.0,Exposition Site,0,2005
United States,Colorado Springs,393804.0,National Capital,0,2005
United States,Omaha,432148.0,State Capital,0,2005
United States,Omaha,432148.0,Sport Team,0,2005
United States,Omaha,432148.0,Airport,1,2005
United States,Omaha,432148.0,Metro Station,0,2005
United States,Omaha,432148.0,Rail Station,0,2005
United States,Omaha,432148.0,Exposition Site,0,2005
United States,Omaha,432148.0,National Capital,0,2005
United States,Raleigh,347681.0,State Capital,1,2005
United States,Raleigh,347681.0,Sport Team,0,2005
United States,Raleigh,347681.0,Airport,1,2005
United States,Raleigh,347681.0,Metro Station,0,2005
United States,Raleigh,347681.0,Rail Station,0,2005
United States,Raleigh,347681.0,Exposition Site,0,2005
United States,Raleigh,347681.0,National Capital,0,2005
United States,Miami,390768.0,State Capital,0,2005
United States,Miami,390768.0,Sport Team,1,2005
United States,Miami,390768.0,Airport,1,2005
United States,Miami,390768.0,Metro Station,1,2005
United States,Miami,390768.0,Rail Station,0,2005
United States,Miami,390768.0,Exposition Site,0,2005
United States,Miami,390768.0,National Capital,0,2005
United States,Cleveland,449188.0,State Capital,0,2005
United States,Cleveland,449188.0,Sport Team,1,2005
United States,Cleveland,449188.0,Airport,1,2005
United States,Cleveland,449188.0,Metro Station,1,2005
United States,Cleveland,449188.0,Rail Station,0,2005
United States,Cleveland,449188.0,Exposition Site,0,2005
United States,Cleveland,449188.0,National Capital,0,2005
United States,Tulsa,381017.0,State Capital,0,2005
United States,Tulsa,381017.0,Sport Team,0,2005
United States,Tulsa,381017.0,Airport,1,2005
United States,Tulsa,381017.0,Metro Station,0,2005
United States,Tulsa,381017.0,Rail Station,0,2005
United States,Tulsa,381017.0,Exposition Site,0,2005
United States,Tulsa,381017.0,National Capital,0,2005
United States,Oakland,392112.0,State Capital,0,2005
United States,Oakland,392112.0,Sport Team,1,2005
United States,Oakland,392112.0,Airport,1,2005
United States,Oakland,392112.0,Metro Station,0,2005
United States,Oakland,392112.0,Rail Station,0,2005
United States,Oakland,392112.0,Exposition Site,0,2005
United States,Oakland,392112.0,National Capital,0,2005
United States,Minneapolis,375512.0,State Capital,0,2005
United States,Minneapolis,375512.0,Sport Team,1,2005
United States,Minneapolis,375512.0,Airport,1,2005
United States,Minneapolis,375512.0,Metro Station,0,2005
United States,Minneapolis,375512.0,Rail Station,0,2005
United States,Minneapolis,375512.0,Exposition Site,0,2005
United States,Minneapolis,375512.0,National Capital,0,2005
United States,Wichita,354524.0,State Capital,0,2005
United States,Wichita,354524.0,Sport Team,0,2005
United States,Wichita,354524.0,Airport,1,2005
United States,Wichita,354524.0,Metro Station,0,2005
United States,Wichita,354524.0,Rail Station,0,2005
United States,Wichita,354524.0,Exposition Site,0,2005
United States,Wichita,354524.0,National Capital,0,2005
United States,Arlington,361043.0,State Capital,0,2005
United States,Arlington,361043.0,Sport Team,0,2005
United States,Arlington,361043.0,Airport,0,2005
United States,Arlington,361043.0,Metro Station,0,2005
United States,Arlington,361043.0,Rail Station,0,2005
United States,Arlington,361043.0,Exposition Site,0,2005
United States,Arlington,361043.0,National Capital,0,2005
United States,Bakersfield,291553.0,State Capital,0,2005
United States,Bakersfield,291553.0,Sport Team,0,2005
United States,Bakersfield,291553.0,Airport,1,2005
