4,9,6,10,2,14,1,7,8,13,3,11,15,12,5
8,11,3,1,6,4,15,12,2,9,13,10,5,7,14
6,10,5,3,1,7,2,14,4,15,12,13,8,9,11
5,11,2,14,9,1,12,3,8,10,13,4,6,15,7
10,5,14,13,6,8,11,3,15,12,9,7,1,4,2
5,11,12,9,1,8,4,13,2,15,10,7,3,6,14
4,1,12,8,15,5,14,3,11,6,2,13,7,9,10
4,5,12,14,11,2,13,15,6,9,8,1,7,3,10
5,2,3,1,13,8,10,4,6,15,12,7,14,9,11
8,11,2,13,14,12,3,4,15,9,10,5,1,6,7
12,2,10,8,6,15,5,1,13,3,7,4,14,11,9
4,7,11,5,6,8,14,10,9,3,13,1,2,15,12
1,4,2,12,5,15,10,8,11,13,6,3,7,14,9
1,4,2,12,7,5,14,10,8,13,3,15,11,9,6
11,8,3,12,15,14,10,2,1,4,13,5,7,6,9
4,1,2,5,8,11,13,15,3,14,10,12,9,7,6
1,2,4,5,8,15,11,14,12,3,13,6,10,7,9
1,2,4,3,5,8,9,6,7,11,12,13,14,10,15
4,1,12,2,11,13,8,5,14,3,15,9,10,6,7
6,15,12,11,13,14,4,5,1,2,8,7,9,10,3
8,1,5,2,9,10,6,3,14,4,12,11,7,15,13
1,4,2,5,3,8,7,12,13,11,9,10,6,14,15
11,5,14,1,12,13,2,8,3,4,10,9,7,15,6
5,2,3,10,1,13,12,8,9,15,11,4,14,6,7
4,12,8,9,3,1,15,13,2,10,11,14,7,6,5
11,2,8,12,5,4,13,10,7,3,9,1,14,6,15
2,8,3,4,11,12,5,10,13,15,9,7,14,1,6
4,11,5,9,7,8,13,10,2,14,3,15,12,6,1
12,2,14,4,11,5,15,10,1,9,8,3,7,6,13
11,4,12,6,10,1,8,5,9,7,15,13,14,2,3
10,1,9,14,12,8,6,4,7,2,11,5,13,15,3
1,4,2,8,12,6,5,7,3,13,10,14,9,11,15
8,13,1,14,5,7,10,11,9,4,6,2,12,15,3
5,12,8,13,11,14,2,15,4,9,3,6,10,1,7
1,2,7,4,3,5,8,9,6,11,12,13,15,10,14
13,2,4,12,8,10,1,14,3,5,15,11,9,6,7
12,13,5,4,2,11,8,14,9,15,6,1,10,3,7
7,4,11,8,6,5,12,1,14,10,3,15,13,9,2
7,4,11,6,5,1,10,2,3,9,12,8,15,13,14
10,1,13,15,2,5,6,11,8,12,14,9,4,3,7
13,2,8,1,7,14,15,12,3,9,10,4,11,5,6
13,2,14,8,12,15,1,7,3,4,10,9,11,6,5
1,2,7,8,14,9,6,12,10,13,11,15,5,4,3
1,4,2,5,8,12,7,3,14,10,9,13,11,15,6
12,15,4,11,8,5,13,10,14,3,6,2,7,9,1
8,5,11,3,13,2,12,9,7,14,15,1,4,10,6
8,1,10,4,14,7,5,2,6,12,13,9,15,3,11
1,9,5,8,13,12,6,7,3,4,14,11,10,2,15
1,4,5,2,8,14,9,13,7,12,10,3,15,11,6
1,4,2,5,11,12,3,9,6,10,8,7,13,15,14
12,2,3,15,9,8,1,6,14,13,11,5,10,4,7
6,15,14,4,13,7,5,1,12,9,11,3,2,10,8
1,4,2,5,12,9,7,3,14,6,13,10,11,8,15
10,4,15,13,9,12,6,14,11,1,3,8,2,7,5
3,8,15,4,7,9,2,12,1,10,6,11,13,14,5
12,4,1,9,2,14,7,8,15,6,11,10,3,13,5
4,3,10,1,12,9,15,2,8,11,14,6,5,7,13
7,11,4,5,12,13,2,10,8,14,3,15,1,9,6
7,13,4,5,10,12,1,8,9,11,3,6,14,2,15
11,15,3,13,12,1,10,8,2,9,6,5,4,7,14
1,2,11,12,4,8,5,9,10,15,3,13,7,14,6
4,12,3,5,1,2,13,15,10,9,8,6,11,14,7
4,3,5,9,2,13,1,11,12,6,15,8,7,10,14
13,8,15,2,12,10,1,6,7,14,9,3,5,11,4
10,5,1,13,8,12,3,15,4,6,11,14,2,9,7
3,13,15,9,6,14,2,11,12,1,10,4,7,8,5
4,5,10,8,12,2,14,11,15,3,1,6,7,13,9
4,5,10,12,8,15,11,2,14,13,6,3,7,1,9
