study,subject,trial,gambleType,gain,loss,cert,tookGamble
study_1,102,61,gain_loss,14,-14.0,0,0
study_1,102,62,gain_loss,10,-13.75,0,0
study_1,102,63,gain_loss,10,-11.25,0,0
study_1,102,64,gain_loss,8,-13.0,0,0
study_1,102,65,gain_loss,2,-1.75,0,0
study_1,102,66,gain_loss,6,-4.5,0,0
study_1,102,67,gain_loss,9,-7.875,0,0
study_1,102,68,gain_loss,8,-16.0,0,0
study_1,102,69,gain_loss,15,-9.375,0,0
study_1,102,70,gain_loss,16,-22.0,0,0
study_1,102,71,gain_loss,5,-5.0,0,0
study_1,102,72,gain_loss,2,-3.5,0,0
study_1,102,73,gain_loss,4,-6.5,0,0
study_1,102,74,gain_loss,8,-5.0,0,1
study_1,102,75,gain_loss,15,-11.25,0,0
study_1,102,76,gain_loss,14,-24.5,0,0
study_1,102,77,gain_loss,10,-2.5,0,0
study_1,102,78,gain_loss,15,-22.5,0,0
study_1,102,79,gain_loss,10,-6.25,0,0
study_1,102,80,gain_loss,9,-10.125,0,0
study_1,102,81,gain_loss,4,-3.5,0,0
study_1,102,82,gain_loss,14,-15.75,0,0
study_1,102,83,gain_loss,14,-22.75,0,0
study_1,102,84,gain_loss,4,-7.5,0,0
study_1,102,85,gain_loss,9,-5.625,0,0
study_1,102,86,gain_loss,2,-0.75,0,1
study_1,102,87,gain_loss,16,-6.0,0,1
study_1,102,88,gain_loss,5,-6.25,0,0
study_1,102,89,gain_loss,10,-16.25,0,0
study_1,102,90,gain_loss,15,-20.625,0,0
study_1,102,91,gain_loss,6,-6.75,0,0
study_1,102,92,gain_loss,16,-32.0,0,0
study_1,102,93,gain_loss,12,-22.5,0,0
study_1,102,94,gain_loss,2,-1.0,0,0
study_1,102,95,gain_loss,8,-11.0,0,0
study_1,102,96,gain_loss,14,-26.25,0,0
study_1,102,97,gain_loss,10,-15.0,0,0
study_1,102,98,gain_loss,9,-9.0,0,0
study_1,102,99,gain_loss,8,-2.0,0,0
study_1,102,100,gain_loss,12,-18.0,0,0
study_1,102,101,gain_loss,6,-1.5,0,0
study_1,102,102,gain_loss,8,-7.0,0,0
study_1,102,103,gain_loss,14,-8.75,0,0
study_1,102,104,gain_loss,14,-19.25,0,0
study_1,102,105,gain_loss,14,-3.5,0,0
study_1,102,106,gain_loss,14,-10.5,0,0
study_1,102,107,gain_loss,5,-1.875,0,0
study_1,102,108,gain_loss,16,-26.0,0,0
study_1,102,109,gain_loss,2,-1.5,0,0
study_1,102,110,gain_loss,16,-16.0,0,0
study_1,102,111,gain_loss,6,-7.5,0,0
study_1,102,112,gain_loss,12,-10.5,0,0
study_1,102,113,gain_loss,4,-1.5,0,0
study_1,102,114,gain_loss,12,-6.0,0,0
study_1,102,115,gain_loss,9,-13.5,0,0
study_1,102,116,gain_loss,9,-3.375,0,0
study_1,102,117,gain_loss,8,-10.0,0,0
study_1,102,118,gain_loss,10,-12.5,0,0
study_1,102,119,gain_loss,14,-28.0,0,0
study_1,102,120,gain_loss,6,-9.0,0,0
study_1,102,121,gain_loss,4,-5.5,0,0
study_1,102,122,gain_loss,5,-1.25,0,0
study_1,102,123,gain_loss,12,-24.0,0,0
study_1,102,124,gain_loss,5,-2.5,0,0
study_1,102,125,gain_loss,10,-5.0,0,0
study_1,102,126,gain_loss,9,-4.5,0,0
study_1,102,127,gain_loss,15,-30.0,0,0
study_1,102,128,gain_loss,16,-12.0,0,0
study_1,102,129,gain_loss,5,-5.625,0,0
study_1,102,130,gain_loss,9,-11.25,0,0
study_1,102,131,gain_loss,8,-6.0,0,0
study_1,102,132,gain_loss,4,-1.0,0,0
study_1,102,133,gain_loss,8,-9.0,0,0
study_1,102,134,gain_loss,16,-10.0,0,0
study_1,102,135,gain_loss,2,-2.75,0,0
study_1,102,136,gain_loss,5,-7.5,0,0
study_1,102,137,gain_loss,4,-5.0,0,0
study_1,102,138,gain_loss,2,-2.0,0,0
study_1,102,139,gain_loss,9,-15.75,0,0
study_1,102,140,gain_loss,15,-3.75,0,0
study_1,102,141,gain_loss,9,-12.375,0,0
study_1,102,142,gain_loss,14,-17.5,0,0
study_1,102,143,gain_loss,4,-4.0,0,0
study_1,102,144,gain_loss,10,-17.5,0,0
study_1,102,145,gain_loss,14,-12.25,0,0
study_1,102,146,gain_loss,16,-28.0,0,0
study_1,102,147,gain_loss,4,-4.5,0,0
study_1,102,148,gain_loss,12,-4.5,0,0
study_1,102,149,gain_loss,8,-4.0,0,0
study_1,102,150,gain_loss,14,-21.0,0,0
study_1,102,151,gain_loss,8,-15.0,0,0
study_1,102,152,gain_loss,2,-0.5,0,1
study_1,102,153,gain_loss,2,-1.25,0,1
study_1,102,154,gain_loss,12,-16.5,0,1
study_1,102,155,gain_loss,12,-15.0,0,1
study_1,102,156,gain_loss,9,-18.0,0,1
study_1,102,157,gain_loss,16,-18.0,0,0
study_1,102,158,gain_loss,15,-26.25,0,1
study_1,102,159,gain_loss,5,-6.875,0,0
study_1,102,160,gain_loss,16,-14.0,0,0
study_1,102,161,gain_loss,15,-28.125,0,0
study_1,102,162,gain_loss,12,-12.0,0,0
study_1,102,163,gain_loss,8,-12.0,0,0
study_1,102,164,gain_loss,16,-30.0,0,0
study_1,102,165,gain_loss,4,-8.0,0,0
study_1,102,166,gain_loss,10,-7.5,0,0
study_1,102,167,gain_loss,14,-5.25,0,0
study_1,102,168,gain_loss,8,-14.0,0,0
study_1,102,169,gain_loss,9,-2.25,0,0
study_1,102,170,gain_loss,5,-3.125,0,0
study_1,102,171,gain_loss,5,-8.75,0,0
study_1,102,172,gain_loss,12,-3.0,0,0
study_1,102,173,gain_loss,15,-5.625,0,0
study_1,103,9,gain_loss,6,-4.5,0,1
study_1,103,10,gain_loss,5,-9.375,0,0
study_1,103,11,gain_loss,5,-6.25,0,0
study_1,103,12,gain_loss,12,-21.0,0,0
study_1,103,13,gain_loss,5,-6.875,0,0
study_1,103,14,gain_loss,4,-5.5,0,0
study_1,103,15,gain_loss,4,-4.0,0,1
study_1,103,16,gain_loss,5,-5.625,0,0
study_1,103,17,gain_loss,10,-3.75,0,1
study_1,103,18,gain_loss,4,-3.0,0,0
study_1,103,19,gain_loss,6,-1.5,0,0
study_1,103,20,gain_loss,9,-10.125,0,1
study_1,103,21,gain_loss,15,-24.375,0,1
study_1,103,22,gain_loss,5,-3.75,0,0
study_1,103,23,gain_loss,2,-2.0,0,0
study_1,103,24,gain_loss,6,-6.0,0,0
study_1,103,25,gain_loss,2,-4.0,0,1
study_1,103,26,gain_loss,2,-3.75,0,0
study_1,103,27,gain_loss,5,-7.5,0,0
study_1,103,28,gain_loss,14,-5.25,0,0
study_1,103,29,gain_loss,6,-5.25,0,1
study_1,103,30,gain_loss,14,-21.0,0,1
study_1,103,31,gain_loss,8,-13.0,0,0
study_1,103,32,gain_loss,14,-19.25,0,0
study_1,103,33,gain_loss,5,-8.75,0,0
study_1,103,34,gain_loss,15,-28.125,0,0
study_1,103,35,gain_loss,10,-6.25,0,0
study_1,103,36,gain_loss,14,-8.75,0,0
study_1,103,37,gain_loss,15,-30.0,0,0
study_1,103,38,gain_loss,10,-20.0,0,0
study_1,103,39,gain_loss,9,-2.25,0,1
study_1,103,40,gain_loss,10,-5.0,0,1
study_1,103,41,gain_loss,14,-24.5,0,0
study_1,103,42,gain_loss,16,-24.0,0,0
study_1,103,43,gain_loss,4,-4.5,0,0
study_1,103,44,gain_loss,16,-22.0,0,0
study_1,103,45,gain_loss,9,-7.875,0,0
study_1,103,46,gain_loss,4,-5.0,0,0
study_1,103,47,gain_loss,4,-6.0,0,0
study_1,103,48,gain_loss,14,-15.75,0,0
study_1,103,49,gain_loss,15,-26.25,0,0
study_1,103,50,gain_loss,2,-0.5,0,1
study_1,103,51,gain_loss,12,-7.5,0,0
study_1,103,52,gain_loss,16,-26.0,0,1
study_1,103,53,gain_loss,6,-3.0,0,0
study_1,103,54,gain_loss,15,-20.625,0,0
study_1,103,55,gain_loss,8,-3.0,0,0
study_1,103,56,gain_loss,6,-3.75,0,1
study_1,103,57,gain_loss,14,-7.0,0,1
study_1,103,58,gain_loss,9,-14.625,0,1
study_1,103,59,gain_loss,14,-22.75,0,0
study_1,103,60,gain_loss,14,-17.5,0,0
study_1,103,61,gain_loss,16,-28.0,0,0
study_1,103,62,gain_loss,10,-13.75,0,0
study_1,103,63,gain_loss,10,-12.5,0,0
