participant,horizon,environment,environmentCode,game,trial,choice,reward
1,16,neutral,A1-B1,22,7,2,0
1,16,neutral,A1-B1,22,8,1,0
1,16,neutral,A1-B1,22,9,2,1
1,16,neutral,A1-B1,22,10,2,0
1,16,neutral,A1-B1,22,11,1,0
1,16,neutral,A1-B1,22,12,2,0
1,16,neutral,A1-B1,22,13,2,0
1,16,neutral,A1-B1,22,14,1,0
1,16,neutral,A1-B1,22,15,2,0
1,16,neutral,A1-B1,22,16,2,0
1,16,neutral,A1-B1,23,1,1,1
1,16,neutral,A1-B1,23,2,1,0
1,16,neutral,A1-B1,23,3,2,1
1,16,neutral,A1-B1,23,4,2,1
1,16,neutral,A1-B1,23,5,2,1
1,16,neutral,A1-B1,23,6,2,1
1,16,neutral,A1-B1,23,7,2,1
1,16,neutral,A1-B1,23,8,2,1
1,16,neutral,A1-B1,23,9,2,1
1,16,neutral,A1-B1,23,10,2,1
1,16,neutral,A1-B1,23,11,2,1
1,16,neutral,A1-B1,23,12,2,1
1,16,neutral,A1-B1,23,13,2,1
1,16,neutral,A1-B1,23,14,2,1
1,16,neutral,A1-B1,23,15,2,1
1,16,neutral,A1-B1,23,16,2,1
1,16,neutral,A1-B1,24,1,2,1
1,16,neutral,A1-B1,24,2,2,0
1,16,neutral,A1-B1,24,3,1,0
1,16,neutral,A1-B1,24,4,2,1
1,16,neutral,A1-B1,24,5,2,0
1,16,neutral,A1-B1,24,6,1,0
1,16,neutral,A1-B1,24,7,2,1
1,16,neutral,A1-B1,24,8,2,1
1,16,neutral,A1-B1,24,9,2,1
1,16,neutral,A1-B1,24,10,2,1
1,16,neutral,A1-B1,24,11,2,1
1,16,neutral,A1-B1,24,12,2,1
1,16,neutral,A1-B1,24,13,2,1
1,16,neutral,A1-B1,24,14,2,0
1,16,neutral,A1-B1,24,15,1,0
1,16,neutral,A1-B1,24,16,2,0
1,16,neutral,A1-B1,25,1,1,0
1,16,neutral,A1-B1,25,2,2,0
1,16,neutral,A1-B1,25,3,2,1
1,16,neutral,A1-B1,25,4,2,1
1,16,neutral,A1-B1,25,5,2,1
1,16,neutral,A1-B1,25,6,2,1
1,16,neutral,A1-B1,25,7,2,0
1,16,neutral,A1-B1,25,8,1,0
1,16,neutral,A1-B1,25,9,2,1
1,16,neutral,A1-B1,25,10,2,1
1,16,neutral,A1-B1,25,11,2,1
1,16,neutral,A1-B1,25,12,2,1
1,16,neutral,A1-B1,25,13,2,1
1,16,neutral,A1-B1,25,14,2,1
1,16,neutral,A1-B1,25,15,2,1
1,16,neutral,A1-B1,25,16,2,1
1,16,neutral,A1-B1,26,1,1,0
1,16,neutral,A1-B1,26,2,2,0
1,16,neutral,A1-B1,26,3,2,0
1,16,neutral,A1-B1,26,4,2,0
