participant,nBlocks,pennMatrices,listSort,cardSort
869,8,22.0,108.06,126.65
870,8,13.0,108.06,120.38
871,8,20.0,117.39,127.52
872,8,20.0,126.18,128.85
873,8,7.0,108.06,119.62
874,8,19.0,121.89,104.88
875,8,20.0,121.89,129.19
876,8,23.0,133.93,105.99
877,8,15.0,133.93,106.64
878,8,16.0,112.89,123.42
879,8,22.0,117.39,114.06
880,8,24.0,108.06,120.05
881,8,9.0,96.99,109.7
882,8,19.0,108.06,110.02
883,8,11.0,108.06,95.56
884,8,18.0,112.89,122.66
885,8,13.0,93.9,127.93
886,8,21.0,108.06,112.86
887,8,19.0,121.89,120.11
888,8,20.0,126.18,118.6
889,8,18.0,112.89,109.49
890,8,16.0,100.43,108.73
891,8,23.0,117.39,133.12
892,8,10.0,104.06,109.19
893,8,20.0,108.06,117.33
894,8,18.0,117.39,119.69
895,8,16.0,108.06,102.35
896,8,20.0,104.06,107.06
897,8,12.0,104.06,122.66
898,8,18.0,108.06,129.89
899,8,20.0,121.89,116.37
900,8,23.0,130.38,107.73
901,8,11.0,108.06,114.89
902,8,24.0,108.06,110.45
903,8,10.0,108.06,97.21
904,8,8.0,100.43,98.58
905,8,19.0,126.18,123.13
906,8,24.0,121.89,117.07
907,8,19.0,104.06,101.33
908,8,14.0,126.18,125.06
909,8,18.0,112.89,113.06
910,8,24.0,104.06,126.59
911,8,22.0,112.89,110.87
912,8,21.0,121.89,125.09
913,8,16.0,121.89,106.14
914,8,15.0,121.89,122.23
915,4,18.0,117.39,108.63
916,8,10.0,108.06,125.81
917,8,12.0,108.06,108.08
918,8,12.0,108.06,111.01
919,8,8.0,121.89,119.45
920,8,21.0,121.89,109.36
921,8,9.0,121.89,133.93
922,8,,121.89,96.5
923,8,11.0,117.39,136.1
924,8,21.0,112.89,127.95
925,8,22.0,104.06,125.14
926,8,18.0,112.89,107.22
927,8,18.0,112.89,143.94
928,8,12.0,117.39,110.9
929,8,24.0,137.98,112.52
930,8,10.0,93.9,119.17
931,8,21.0,117.39,114.13
932,8,14.0,100.43,107.35
933,8,20.0,117.39,130.44
934,8,20.0,112.89,132.68
935,8,11.0,96.99,106.51
936,8,22.0,117.39,101.25
937,8,13.0,126.18,122.46
938,8,10.0,117.39,115.42
939,8,21.0,112.89,116.53
940,8,22.0,130.38,114.04
941,8,24.0,130.38,98.61
942,8,23.0,121.89,111.29
943,8,16.0,108.06,102.98
944,8,16.0,108.06,111.2
945,8,21.0,108.06,118.71
946,8,22.0,104.06,121.41
947,8,22.0,130.38,128.57
948,8,17.0,108.06,121.37
949,8,23.0,121.89,107.93
950,8,22.0,108.06,118.69
951,8,21.0,108.06,121.94
952,8,21.0,121.89,113.81
953,8,21.0,93.9,116.67
954,8,9.0,108.06,116.55
955,8,11.0,84.63,99.44
956,8,16.0,93.9,103.95
957,8,20.0,126.18,128.43
958,8,16.0,112.89,116.76
959,8,16.0,112.89,104.41
960,8,14.0,112.89,123.99
961,8,17.0,104.06,130.22
962,8,17.0,112.89,128.57
963,8,10.0,108.06,123.75
964,8,13.0,108.06,110.55
965,8,18.0,104.06,103.73
966,8,18.0,108.06,136.1
967,8,24.0,112.89,117.58
968,8,9.0,112.89,120.2
969,8,11.0,112.89,110.53
970,8,18.0,121.89,100.69
971,8,19.0,108.06,110.3
972,8,23.0,126.18,122.94
973,8,21.0,108.06,103.56
974,8,24.0,117.39,108.37
975,8,10.0,100.43,103.45
976,8,14.0,108.06,107.69
977,8,8.0,91.07,101.14
978,8,21.0,121.89,107.9
979,8,22.0,126.18,112.66
980,8,11.0,117.39,124.56
981,8,21.0,108.06,124.33
982,8,21.0,117.39,120.38
983,8,19.0,112.89,128.43
984,8,21.0,108.06,110.66
985,8,20.0,112.89,107.0
986,8,16.0,112.89,114.71
987,8,17.0,108.06,111.45
988,8,16.0,96.99,107.62
989,8,12.0,96.99,115.48
990,8,7.0,126.18,112.37
991,8,21.0,121.89,109.65
992,8,21.0,112.89,102.73
993,8,15.0,100.43,106.99
994,8,18.0,117.39,110.59
995,8,9.0,96.99,107.45
996,8,23.0,100.43,100.12
997,8,19.0,126.18,125.08
998,8,20.0,117.39,104.34
999,8,10.0,108.06,118.72
1000,8,23.0,144.5,119.16
1001,8,8.0,93.9,118.0
1002,8,19.0,130.38,99.16
1003,8,7.0,100.43,106.99
1004,8,20.0,108.06,128.45
1005,8,9.0,108.06,109.44
1006,8,20.0,144.5,115.91
1007,8,12.0,121.89,118.71
1008,8,18.0,130.38,111.55
1009,8,23.0,117.39,119.07
1010,8,21.0,121.89,125.55
1011,8,19.0,108.06,131.62
1012,8,17.0,100.43,111.57
1013,8,21.0,112.89,124.56
1014,8,14.0,126.18,101.38
1015,8,15.0,93.9,114.42
1016,8,20.0,121.89,116.34
1017,8,19.0,84.63,105.83
1018,8,16.0,121.89,122.15
1019,8,7.0,121.89,107.04
1020,8,21.0,100.43,108.09
1021,8,20.0,80.79,127.03
1022,8,23.0,100.43,120.88
1023,8,15.0,112.89,128.45
1024,8,23.0,117.39,116.23
1025,8,10.0,108.06,110.71
1026,8,20.0,96.99,107.8
1027,8,11.0,121.89,130.49
1028,8,18.0,126.18,118.77
1029,8,19.0,117.39,131.62
1030,8,14.0,126.18,108.63
1031,8,20.0,112.89,107.34
1032,8,14.0,108.06,118.59
1033,8,20.0,117.39,130.44
1034,8,15.0,108.06,143.94
1035,8,18.0,126.18,122.87
1036,8,18.0,108.06,108.13
1037,8,22.0,108.06,117.96
1038,8,13.0,96.99,111.43
1039,8,21.0,108.06,114.09
1040,8,11.0,117.39,130.15
1041,8,22.0,144.5,115.29
1042,8,21.0,117.39,104.63
1043,8,21.0,117.39,138.82
1044,8,18.0,112.89,93.43
1045,8,12.0,93.9,112.37
1046,8,19.0,117.39,122.35
1047,8,15.0,126.18,113.58
1048,8,12.0,96.99,100.23
1049,8,10.0,104.06,125.47
1050,8,19.0,117.39,118.69
1051,8,19.0,126.18,108.91
1052,8,20.0,126.18,122.83
1053,8,8.0,108.06,104.11
1054,8,15.0,96.99,117.82
1055,8,19.0,117.39,108.73
1056,8,21.0,121.89,138.87
1057,8,17.0,96.99,116.67
1058,8,22.0,126.18,143.94
1059,8,13.0,104.06,123.42
1060,8,23.0,117.39,106.84
1061,8,13.0,91.07,128.44
1062,8,19.0,121.89,119.16
1063,8,9.0,100.43,124.95
1064,8,8.0,100.43,124.87
1065,8,16.0,100.43,124.2
1066,8,14.0,108.06,103.29
1067,8,16.0,93.9,104.85
1068,8,10.0,96.99,116.67
1069,8,15.0,100.43,119.17
1070,8,10.0,96.99,100.79
1071,8,14.0,108.06,113.18
1072,8,19.0,112.89,109.27
1073,8,16.0,117.39,117.31
1074,8,17.0,108.06,118.71
1075,8,17.0,117.39,128.62
1076,8,13.0,93.9,100.72
1077,8,20.0,100.43,94.9
1078,8,14.0,112.89,101.21
1079,8,24.0,117.39,122.83
1080,8,22.0,93.9,122.17
1081,8,23.0,104.06,117.45
1082,8,22.0,112.89,115.28
1083,8,20.0,117.39,117.59
1084,8,10.0,104.06,122.18
1085,8,23.0,121.89,136.1
1086,8,21.0,100.43,94.96
1087,8,14.0,96.99,126.37
1088,8,21.0,121.89,120.35
1089,8,20.0,108.06,112.17
1090,8,19.0,108.06,123.4
1091,8,20.0,108.06,117.78
