participant,nBlocks,pennMatrices,listSort,cardSort
242,8,18.0,96.99,111.36
243,8,23.0,117.39,136.1
244,8,18.0,112.89,123.59
245,8,23.0,117.39,116.55
246,8,10.0,100.43,120.61
247,8,16.0,108.06,138.87
248,8,11.0,100.43,108.97
249,8,20.0,108.06,113.54
250,8,12.0,100.43,118.01
251,8,20.0,108.06,122.09
252,8,21.0,117.39,129.82
253,8,21.0,117.39,118.41
254,8,20.0,100.43,123.23
255,8,18.0,86.4,117.97
256,8,19.0,117.39,132.88
257,8,19.0,108.06,128.57
258,8,18.0,117.39,108.98
259,8,11.0,121.89,119.76
260,8,22.0,126.18,108.39
261,8,10.0,117.39,125.31
262,8,22.0,117.39,124.56
263,8,23.0,144.5,122.94
264,8,21.0,130.38,114.32
265,8,14.0,104.06,115.84
266,8,16.0,133.93,115.29
267,8,11.0,104.06,112.55
268,8,6.0,100.43,108.33
269,8,22.0,121.89,117.54
270,8,21.0,104.06,116.8
271,8,11.0,96.99,99.42
272,8,21.0,126.18,116.67
273,8,20.0,126.18,143.94
274,8,22.0,112.89,103.77
275,8,19.0,126.18,123.26
276,8,17.0,100.43,118.84
277,8,13.0,104.06,100.6
278,8,20.0,108.06,123.61
279,8,17.0,117.39,118.01
280,8,13.0,104.06,123.02
281,8,12.0,100.43,111.65
282,8,20.0,121.89,118.5
283,8,21.0,108.06,116.08
284,8,10.0,108.06,110.99
285,8,12.0,93.9,136.1
286,8,20.0,100.43,119.76
287,8,24.0,117.39,128.95
288,8,21.0,121.89,129.77
289,8,12.0,117.39,96.14
290,8,22.0,84.63,113.99
291,8,9.0,100.43,129.82
292,8,19.0,117.39,112.04
293,8,22.0,84.63,130.0
294,8,12.0,93.9,107.74
295,8,21.0,104.06,134.08
296,8,17.0,112.89,115.16
297,8,21.0,126.18,114.06
298,8,21.0,108.06,114.78
299,8,15.0,121.89,109.54
300,8,19.0,104.06,101.54
301,8,9.0,121.89,107.79
302,8,7.0,126.18,120.68
303,8,7.0,108.06,110.45
304,8,23.0,108.06,125.0
305,8,14.0,121.89,113.02
306,8,13.0,117.39,118.99
307,8,18.0,108.06,115.38
308,8,22.0,108.06,119.49
309,8,8.0,117.39,121.94
310,8,8.0,117.39,136.1
311,8,21.0,93.9,113.93
312,8,14.0,112.89,108.35
313,8,15.0,93.9,119.39
314,8,20.0,121.89,108.21
315,8,10.0,108.06,83.93
316,8,22.0,126.18,97.57
317,8,17.0,104.06,123.42
318,8,14.0,112.89,117.07
319,8,15.0,130.38,101.66
320,8,21.0,112.89,115.43
321,8,9.0,93.9,94.25
322,8,23.0,112.89,123.58
323,8,23.0,126.18,113.81
324,8,17.0,137.98,114.13
325,8,19.0,100.43,118.32
326,4,18.0,96.99,131.62
327,8,15.0,100.43,122.83
328,8,17.0,112.89,103.89
329,8,21.0,126.18,108.08
330,4,20.0,108.06,96.91
331,8,20.0,112.89,143.94
332,8,21.0,117.39,112.9
333,8,17.0,112.89,102.88
334,8,11.0,100.43,116.55
335,8,15.0,108.06,119.76
336,8,10.0,93.9,112.04
337,8,17.0,108.06,113.41
338,8,18.0,121.89,101.7
339,8,12.0,104.06,124.66
340,8,18.0,112.89,104.41
341,8,21.0,121.89,105.99
342,8,12.0,117.39,108.18
343,8,19.0,108.06,112.64
344,8,9.0,108.06,114.89
345,8,6.0,88.68,103.46
346,8,19.0,104.06,108.25
347,8,18.0,126.18,143.94
348,8,12.0,108.06,108.39
349,8,15.0,112.89,122.44
350,8,22.0,100.43,103.82
351,8,13.0,100.43,124.56
352,8,9.0,93.9,102.37
353,8,19.0,108.06,111.22
354,8,20.0,117.39,113.76
355,8,17.0,108.06,109.56
356,8,18.0,96.99,112.37
357,8,20.0,112.89,104.34
358,8,21.0,100.43,116.59
359,8,20.0,112.89,118.52
360,8,18.0,93.9,104.38
361,8,20.0,117.39,111.94
362,8,22.0,117.39,109.81
363,8,10.0,108.06,97.75
364,8,19.0,96.99,108.38
365,8,17.0,100.43,122.05
366,8,20.0,108.06,120.16
367,8,23.0,133.93,115.03
368,8,19.0,121.89,115.91
369,8,22.0,108.06,122.99
370,8,21.0,108.06,143.94
371,8,15.0,100.43,121.24
372,8,17.0,112.89,113.6
373,8,20.0,121.89,107.84
374,8,9.0,96.99,102.11
375,8,18.0,100.43,120.38
376,8,8.0,96.99,110.9
377,8,7.0,108.06,111.88
378,8,20.0,130.38,112.4
379,8,21.0,112.89,113.3
380,8,11.0,96.99,115.53
381,8,22.0,108.06,113.6
382,8,24.0,117.39,116.5
383,8,21.0,117.39,128.19
384,8,18.0,121.89,114.62
385,8,20.0,104.06,107.98
386,8,12.0,112.89,101.27
387,8,18.0,117.39,118.72
388,8,9.0,104.06,107.14
389,8,17.0,117.39,113.2
390,8,9.0,104.06,118.45
391,8,9.0,108.06,117.31
392,8,22.0,108.06,125.42
393,8,20.0,112.89,108.78
394,8,20.0,121.89,122.5
395,8,10.0,108.06,98.44
396,8,19.0,100.43,100.17
397,8,8.0,93.9,106.61
398,8,21.0,108.06,118.76
399,8,20.0,126.18,120.24
400,8,14.0,108.06,105.94
401,8,21.0,130.38,114.23
402,8,20.0,126.18,113.13
403,8,10.0,108.06,104.06
404,8,7.0,100.43,103.44
405,8,23.0,137.98,128.03
406,8,22.0,100.43,143.94
407,8,20.0,108.06,119.93
408,8,13.0,117.39,106.14
409,8,16.0,93.9,101.84
410,8,23.0,133.93,122.12
411,8,6.0,108.06,116.81
412,8,15.0,112.89,130.59
413,8,9.0,96.99,99.17
414,8,10.0,117.39,124.9
415,8,12.0,93.9,94.34
416,8,22.0,104.06,95.39
417,8,12.0,112.89,126.59
418,8,10.0,126.18,122.94
419,8,6.0,93.9,102.84
420,8,20.0,100.43,113.58
421,8,21.0,108.06,123.05
422,8,22.0,117.39,129.86
423,8,18.0,108.06,132.18
424,8,23.0,108.06,119.58
425,4,14.0,108.06,97.16
426,8,20.0,108.06,114.39
427,8,22.0,133.93,138.87
428,8,6.0,100.43,95.95
429,8,21.0,112.89,114.35
430,8,12.0,108.06,111.2
431,8,8.0,93.9,104.86
432,4,14.0,112.89,118.76
433,8,22.0,117.39,106.28
434,8,19.0,126.18,123.23
435,8,7.0,126.18,121.77
436,8,20.0,104.06,119.87
437,8,24.0,126.18,118.18
438,8,11.0,117.39,113.9
439,8,20.0,126.18,123.99
440,8,20.0,96.99,112.62
441,8,12.0,112.89,126.06
442,8,21.0,108.06,126.58
443,8,6.0,100.43,103.5
444,8,20.0,104.06,122.5
445,8,20.0,117.39,133.28
446,8,22.0,104.06,114.32
447,8,19.0,108.06,117.98
448,8,12.0,126.18,134.24
449,8,15.0,126.18,99.01
450,8,19.0,112.89,111.59
451,8,22.0,112.89,109.56
452,8,14.0,104.06,107.15
453,8,15.0,108.06,112.74
454,8,16.0,100.43,99.01
455,8,9.0,88.68,106.0
456,8,23.0,112.89,119.76
457,8,16.0,112.89,112.65
458,8,21.0,100.43,113.03
459,8,17.0,100.43,111.26
460,8,8.0,133.93,117.1
461,8,19.0,112.89,116.7
462,8,5.0,93.9,104.77
463,8,22.0,100.43,116.64
464,8,17.0,112.89,116.7
465,8,16.0,108.06,104.98
466,8,23.0,126.18,113.99
467,8,16.0,100.43,119.58
468,8,24.0,108.06,118.76
469,8,17.0,100.43,108.83
470,8,18.0,117.39,117.17
471,8,8.0,100.43,114.11
472,8,16.0,112.89,120.05
473,8,21.0,117.39,128.4
474,8,15.0,100.43,114.05
475,8,22.0,130.38,122.18
476,4,21.0,108.06,112.22
477,8,21.0,104.06,116.5
478,8,9.0,108.06,104.97
479,8,23.0,121.89,119.14
480,8,12.0,104.06,107.84
481,8,23.0,121.89,118.66
482,8,18.0,117.39,118.33
483,8,14.0,117.39,128.42
