decision,majority,crowd,accuracy
1437,91,96,0
1438,87,96,0
1439,76,96,1
1440,96,96,1
1441,96,96,0
1442,96,96,1
1443,93,96,0
1444,93,95,0
1445,95,96,1
1446,73,95,1
1447,94,94,0
1448,94,96,1
1449,95,96,1
1450,96,96,1
1451,90,96,0
1452,96,96,1
1453,96,96,0
1454,95,96,1
1455,94,95,0
1456,75,95,1
1457,94,95,0
1458,94,94,0
1459,80,96,0
1460,95,96,1
1461,91,93,1
1462,69,69,0
1463,95,95,0
1464,94,95,1
1465,95,95,0
1466,81,96,1
1467,92,92,0
1468,94,96,0
1469,95,95,0
1470,80,85,1
1471,84,85,1
1472,85,85,1
1473,85,85,0
1474,85,86,0
1475,84,85,1
1476,85,85,0
1477,84,85,0
1478,81,85,1
1479,85,85,0
1480,84,85,0
1481,84,85,0
1482,84,85,1
1483,85,85,0
1484,84,85,1
1485,84,85,1
1486,85,85,1
1487,84,85,1
1488,85,85,1
1489,85,85,0
1490,85,85,1
1491,68,85,0
1492,80,84,0
1493,83,85,0
1494,83,85,0
1495,81,85,0
1496,79,85,0
1497,77,85,0
1498,53,85,0
1499,82,84,0
1500,81,85,0
1501,82,84,0
1502,80,85,0
1503,83,83,0
1504,82,83,0
1505,78,84,0
1506,83,84,0
1507,82,84,0
1508,83,85,0
1509,83,85,0
1510,83,84,0
1511,80,85,1
1512,80,85,0
1513,85,85,0
1514,82,85,0
1515,65,85,0
1516,74,85,0
1517,71,85,0
1518,82,85,0
1519,81,85,0
1520,85,86,0
1521,84,85,0
1522,83,85,0
1523,84,85,0
1524,74,85,0
1525,84,85,1
1526,84,85,0
1527,84,85,0
1528,84,85,0
1529,85,85,0
1530,73,85,0
1531,80,84,0
1532,67,84,0
1533,71,85,1
1534,50,85,0
1535,83,85,0
1536,72,85,0
1537,65,85,0
1538,75,83,0
1539,64,84,0
1540,81,84,0
1541,81,83,0
1542,75,85,1
1543,81,83,0
1544,82,85,0
1545,72,84,0
1546,77,84,0
1547,81,83,0
1548,69,85,1
1549,72,85,0
1550,82,85,1
1551,79,85,0
1552,85,85,0
1553,44,85,1
1554,74,85,0
1555,63,85,0
1556,75,85,0
1557,78,83,0
1558,76,83,1
1559,81,85,0
1560,79,83,1
1561,76,85,1
1562,68,85,0
1563,70,85,1
1564,81,83,1
1565,74,83,0
1566,81,85,1
1567,80,85,1
1568,85,85,0
1569,74,84,1
1570,81,85,0
1571,68,78,1
1572,79,84,0
1573,22,38,0
1574,22,33,1
1575,83,85,0
1576,26,39,1
1577,23,39,1
1578,75,82,0
1579,63,79,1
1580,29,33,1
1581,78,85,1
1582,75,85,1
1583,84,85,0
1584,65,85,0
1585,60,85,1
1586,69,84,0
1587,65,84,1
1588,80,84,0
1589,80,83,1
1590,78,85,1
1591,82,83,1
1592,80,84,0
1593,55,84,0
1594,76,84,0
1595,83,83,1
1596,69,85,1
1597,80,85,0
1598,81,85,1
1599,79,85,1
1600,80,85,0
1601,73,85,1
1602,85,85,0
1603,83,85,1
1604,50,85,1
1605,85,85,1
1606,84,85,1
1607,79,85,1
1608,85,85,1
1609,85,85,1
1610,81,85,0
1611,73,86,0
1612,64,85,1
1613,76,85,0
1614,56,85,1
1615,83,85,0
1616,80,84,1
1617,67,85,0
1618,83,84,1
1619,83,85,1
1620,69,84,1
1621,80,85,1
1622,83,84,1
1623,85,85,0
1624,84,85,0
1625,83,85,0
1626,80,85,0
1627,85,85,0
1628,85,85,0
1629,81,85,0
1630,85,85,0
1631,84,85,0
1632,84,85,0
1633,85,85,0
1634,85,85,0
1635,70,85,0
1636,63,85,0
1637,74,85,0
1638,79,82,0
1639,79,82,1
1640,81,84,0
1641,79,84,1
1642,79,82,1
1643,61,85,0
1644,72,85,1
1645,82,83,1
1646,73,85,0
1647,62,85,0
1648,82,85,0
1649,83,85,1
1650,76,85,0
1651,83,85,1
1652,85,85,1
1653,64,85,1
1654,80,85,0
1655,85,85,1
1656,79,84,0
1657,69,80,0
1658,72,79,1
1659,82,85,0
