participant,trial,decision,leftStimulus,rightStimulus,rt,accuracy
3,39,-1,11,1,11.397000000000006,-1
3,40,1,3,16,4.696,1
3,41,-1,10,5,7.281000000000002,-1
3,42,1,16,12,7.151,1
3,43,1,13,15,12.689000000000004,1
3,44,-1,7,14,10.885999999999996,1
3,45,1,7,8,21.943,1
3,46,-1,6,2,8.582,-1
3,47,-1,9,10,2.6439999999999984,1
3,48,1,6,8,3.2950000000000017,1
3,49,-1,16,8,15.351999999999997,-1
3,50,-1,5,16,6.660000000000004,1
3,51,1,11,9,11.577,-1
3,52,1,5,14,14.531000000000002,1
3,53,1,3,10,6.969999999999999,1
3,54,1,2,4,7.411000000000001,1
3,55,1,13,7,12.076999999999998,-1
3,56,1,3,13,10.275,1
3,57,1,3,11,15.962999999999996,1
3,58,1,6,7,5.357999999999997,1
3,59,-1,7,5,5.017,1
3,60,-1,9,8,24.856,1
3,61,1,1,5,8.442,1
3,62,1,2,11,4.256,1
3,63,1,3,8,1.8919999999999997,1
3,64,-1,4,1,8.332,1
3,65,1,4,6,3.1849999999999987,-1
3,66,-1,12,3,17.024,-1
3,67,-1,12,5,4.536999999999999,-1
3,68,1,2,14,11.065999999999995,1
3,69,-1,14,3,1.1420000000000012,-1
3,70,1,16,10,5.438000000000001,-1
3,71,-1,8,11,8.572000000000003,-1
3,72,1,14,16,2.524000000000001,-1
3,73,-1,3,6,5.177999999999997,-1
3,74,1,6,10,3.355000000000004,1
3,75,-1,3,1,6.659999999999997,1
3,76,-1,9,14,5.237000000000002,1
3,77,1,7,12,3.946000000000005,1
3,78,-1,14,8,11.326999999999998,-1
3,79,1,4,8,2.814,1
3,80,-1,15,8,3.434000000000001,-1
3,81,-1,8,2,3.5749999999999997,-1
3,82,1,7,16,1.3520000000000003,1
3,83,1,7,11,3.395,1
3,84,-1,5,15,1.3820000000000014,1
3,85,-1,15,9,2.834,-1
3,86,-1,11,14,4.856999999999999,1
3,87,-1,7,9,7.359999999999999,1
3,88,1,9,16,7.100999999999999,1
3,89,1,2,15,3.8149999999999977,1
3,90,1,3,7,16.543999999999997,1
3,91,-1,10,14,6.838999999999999,1
3,92,1,2,16,3.1350000000000016,1
3,93,1,4,12,2.483999999999998,1
3,94,1,6,15,5.286999999999999,1
3,95,1,3,4,4.877000000000002,-1
3,96,1,1,9,1.3319999999999936,1
3,97,-1,5,3,6.549,-1
3,98,-1,12,2,2.7339999999999947,-1
3,99,1,11,4,6.439,-1
3,100,1,13,10,17.325,-1
3,101,-1,7,1,4.9979999999999976,-1
3,102,-1,9,4,3.515000000000001,-1
3,103,-1,14,6,2.985000000000003,-1
3,104,1,2,3,37.313,1
3,105,-1,15,4,9.323000000000002,-1
3,106,1,7,10,0.8109999999999999,1
3,107,1,1,15,5.878999999999998,1
3,108,1,1,13,0.7910000000000004,1
3,109,1,4,13,6.799,1
3,110,-1,12,13,4.3870000000000005,-1
3,111,1,3,15,3.263999999999996,1
3,112,-1,12,1,2.4540000000000006,-1
3,113,1,2,10,3.5959999999999965,1
3,114,-1,9,12,1.913000000000004,1
3,115,-1,11,6,5.436999999999998,-1
3,116,-1,16,1,7.261,-1
3,117,1,1,14,1.782,1
3,118,-1,9,2,3.355000000000002,-1
3,119,1,16,11,5.968,-1
4,1,-1,4,14,17.674999999999997,1
4,2,-1,2,7,2.273000000000001,1
4,3,-1,5,11,1.9530000000000007,1
4,4,-1,9,13,1.3119999999999976,1
4,5,1,12,10,0.700999999999997,-1
4,6,1,6,1,15.586999999999996,1
4,7,1,2,5,11.396,1
4,8,-1,10,1,13.920000000000002,-1
4,9,-1,8,1,18.627,-1
4,10,1,8,10,9.544000000000004,1
4,11,-1,4,7,21.491,1
4,12,1,5,4,25.697000000000003,-1
4,13,1,16,15,21.631,1
4,14,-1,10,4,8.211999999999996,-1
4,15,1,15,12,16.363,-1
4,16,-1,14,15,12.287,1
4,17,1,13,11,9.694000000000004,-1
4,18,-1,5,9,9.634,1
4,19,1,16,6,8.853000000000002,-1
4,20,-1,14,12,16.583999999999996,1
4,21,1,8,12,10.925999999999998,1
4,22,1,2,1,11.636999999999992,1
4,23,1,15,11,11.687000000000005,-1
4,24,1,7,15,13.91,1
4,25,1,2,13,6.670000000000002,1
4,26,1,10,11,11.907,-1
4,27,-1,6,13,11.006,1
4,28,-1,13,8,20.510000000000005,-1
4,29,1,16,13,13.579,-1
4,30,-1,11,12,13.148,1
4,31,-1,9,6,15.881999999999998,-1
4,32,1,4,16,14.010000000000002,1
4,33,-1,13,14,15.502000000000002,1
4,34,1,5,13,16.774,1
4,35,-1,9,3,17.735,-1
4,36,-1,8,5,6.860000000000001,-1
4,37,-1,12,6,2.6140000000000008,-1
4,38,-1,15,10,1.231999999999999,-1
4,39,-1,11,1,1.4319999999999986,-1
4,40,1,3,16,2.312999999999999,1
4,41,-1,10,5,40.408,-1
4,42,-1,16,12,4.536000000000001,1
4,43,-1,13,15,12.569,1
4,44,1,14,7,7.040000000000003,-1
4,45,1,8,7,24.876000000000005,-1
4,46,-1,6,2,27.52,-1
4,47,1,10,9,9.352999999999994,-1
4,48,1,6,8,7.731000000000002,1
4,49,1,16,8,1.8320000000000007,-1
4,50,-1,5,16,5.296999999999997,1
4,51,-1,11,9,15.171,-1
4,52,1,5,14,5.6080000000000005,1
4,53,1,3,10,3.535,1
4,54,1,2,4,7.872,1
4,55,1,13,7,7.981000000000002,-1
4,56,1,3,13,13.97,1
4,57,1,3,11,5.628,1
4,58,-1,7,6,18.857,-1
4,59,-1,7,5,3.6359999999999992,1
4,60,1,9,8,5.778000000000002,1
4,61,1,1,5,3.8759999999999977,1
4,62,-1,11,2,7.039999999999999,-1
4,63,1,3,8,5.277000000000001,1
4,64,1,4,1,8.392000000000003,1
4,65,1,4,6,3.0939999999999994,-1
4,66,-1,12,3,2.414,-1
4,67,1,5,12,8.102,1
4,68,1,2,14,1.3520000000000003,1
4,69,-1,14,3,1.0620000000000012,-1
4,70,1,16,10,0.8709999999999987,-1
4,71,-1,11,8,2.943999999999999,1
4,72,1,16,14,2.534000000000006,1
4,73,1,3,6,6.5190000000000055,-1
4,74,-1,10,6,15.473,-1
4,75,-1,3,1,10.686,1
4,76,1,9,14,2.5330000000000013,1
4,77,-1,12,7,4.716999999999999,-1
4,78,1,14,8,2.433,-1
4,79,-1,8,4,4.565999999999995,-1
4,80,-1,8,15,2.8939999999999984,1
4,81,-1,2,8,10.535000000000004,1
4,82,1,7,16,1.5120000000000005,1
4,83,1,11,7,3.605,-1
4,84,1,5,15,4.145999999999999,1
4,85,1,15,9,6.579000000000001,-1
4,86,1,14,11,2.933999999999997,-1
4,87,1,7,9,12.028000000000006,1
4,88,1,9,16,3.305,1
4,89,-1,15,2,5.558,-1
4,90,-1,7,3,7.661000000000001,-1
4,91,1,14,10,1.161999999999999,-1
4,92,1,2,16,2.764000000000003,1
4,93,1,12,4,11.216,-1
4,94,-1,15,6,2.3939999999999984,-1
4,95,-1,4,3,1.3220000000000027,1
4,96,-1,9,1,0.8910000000000053,-1
4,97,-1,3,5,1.4420000000000002,1
4,98,1,2,12,0.6499999999999986,1
4,99,1,11,4,0.6509999999999999,-1
4,100,-1,10,13,0.5910000000000002,1
4,101,1,1,7,0.932,1
4,102,1,9,4,1.713,-1
4,103,-1,14,6,1.791999999999999,-1
4,104,-1,3,2,6.488999999999999,-1
4,105,-1,4,15,1.491999999999997,1
4,106,1,7,10,0.7910000000000004,1
4,107,-1,15,1,1.872,-1
4,108,-1,13,1,1.2119999999999995,-1
4,109,-1,13,4,0.8510000000000026,-1
4,110,1,13,12,1.6720000000000006,1
4,111,1,3,15,0.9220000000000006,1
4,112,1,12,1,1.411999999999999,-1
4,113,1,2,10,1.1510000000000034,1
4,114,1,9,12,0.5210000000000008,1
4,115,1,6,11,0.6509999999999962,1
4,116,-1,16,1,0.7310000000000016,-1
4,117,1,1,14,0.3900000000000005,1
4,118,-1,9,2,0.7710000000000008,-1
4,119,-1,16,11,0.6910000000000025,-1
5,1,-1,14,4,8.592999999999996,-1
5,2,1,2,7,5.818000000000005,1
5,3,-1,5,11,5.018000000000001,1
5,4,-1,9,13,8.983,1
5,5,1,12,10,2.334,-1
5,6,-1,6,1,2.382999999999999,1
5,7,1,2,5,6.580000000000002,1
