participant,trial,decision,leftStimulus,rightStimulus,rt,confidence
13,5,-1,25,24,4.006,4
14,1,-1,24,23,3.976000000000001,2
14,2,1,28,29,5.068,4
14,3,1,17,18,1.291999999999998,4
14,4,1,24,25,1.1820000000000022,2
14,5,-1,20,18,3.2340000000000018,4
15,1,1,18,17,3.664999999999999,3
15,2,1,24,23,5.268000000000001,3
15,3,1,24,25,2.3939999999999992,3
15,4,1,18,20,3.3450000000000006,3
15,5,1,29,28,3.5249999999999986,3
16,1,-1,24,23,6.849999999999994,3
16,2,-1,29,28,3.103999999999999,5
16,3,-1,17,18,1.772999999999996,5
16,4,-1,24,25,3.024,4
16,5,1,18,20,1.1920000000000002,4
17,1,-1,18,17,11.536,2
17,2,-1,23,24,4.176,3
17,3,1,24,25,4.286,4
17,4,-1,20,18,5.037000000000003,2
17,5,-1,29,28,11.345999999999997,4
18,1,1,18,17,11.636999999999995,3
18,2,-1,20,18,1.6920000000000002,5
18,3,-1,28,29,2.9540000000000006,4
18,4,-1,23,24,1.8320000000000007,5
18,5,-1,25,24,1.481999999999999,5
19,1,1,17,18,18.687,3
19,2,1,18,20,5.096999999999998,2
19,3,1,28,29,6.869999999999997,4
19,4,1,25,24,6.228999999999999,2
19,5,-1,24,23,5.317,4
20,1,-1,24,23,21.270000000000003,1
20,2,1,24,25,12.518,2
20,3,1,18,17,10.034999999999997,1
20,4,-1,18,20,5.958999999999996,2
20,5,1,29,28,6.409,1
21,1,-1,29,28,4.457000000000001,1
21,2,-1,24,25,7.851000000000003,3
21,3,1,20,18,13.920000000000002,2
21,4,1,17,18,14.119999999999996,2
21,5,1,23,24,12.377999999999998,2
22,1,-1,23,24,11.697000000000005,3
22,2,-1,29,28,10.655,3
22,3,1,20,18,1.5420000000000016,1
22,4,-1,25,24,4.938,3
22,5,-1,18,17,0.940999999999999,1
23,1,-1,18,20,0.7710000000000008,3
23,2,-1,28,29,2.874000000000001,3
23,3,-1,18,17,2.2540000000000013,4
23,4,-1,24,23,1.0410000000000004,3
23,5,-1,24,25,7.18,3
24,1,-1,24,25,4.606,4
24,2,1,17,18,2.334,3
24,3,1,29,28,3.2840000000000025,3
24,4,1,18,20,4.085999999999999,3
24,5,1,23,24,2.103000000000001,4
25,1,-1,29,28,16.784999999999997,5
25,2,-1,20,18,2.6439999999999984,5
25,3,-1,25,24,1.0420000000000016,5
25,4,1,24,23,1.2620000000000005,4
25,5,-1,17,18,1.6820000000000022,4
26,1,1,23,24,20.700000000000003,1
26,2,-1,18,20,3.194,1
26,3,1,25,24,3.1050000000000004,1
26,4,-1,28,29,2.243000000000002,1
26,5,1,17,18,2.453999999999997,1
27,1,-1,25,24,6.899999999999999,4
27,2,-1,28,29,1.032,4
27,3,1,18,20,3.344999999999999,5
27,4,-1,17,18,4.285999999999998,3
27,5,-1,23,24,3.7159999999999975,4
28,1,-1,24,25,30.514,2
28,2,-1,18,17,5.357999999999999,3
28,3,-1,24,23,2.7040000000000006,2
28,4,1,28,29,3.125,4
28,5,1,20,18,3.2149999999999963,2
29,1,-1,24,23,20.809999999999995,5
29,2,-1,18,20,3.585000000000001,3
29,3,1,28,29,2.1430000000000007,5
29,4,1,25,24,1.532,4
29,5,1,17,18,5.768000000000001,2
30,1,-1,18,20,8.592,4
30,2,1,24,23,4.876999999999999,5
30,3,1,28,29,3.2949999999999946,4
30,4,1,18,17,2.783999999999999,3
30,5,-1,25,24,1.3419999999999987,5
31,1,1,23,24,6.899999999999999,3
31,2,-1,18,17,2.453999999999993,4
31,3,1,20,18,4.146000000000001,3
31,4,1,28,29,3.0740000000000003,4
31,5,1,25,24,3.7159999999999993,3
32,1,-1,24,23,0.7010000000000005,4
32,2,1,28,29,1.0210000000000008,3
32,3,1,25,24,0.7109999999999985,3
32,4,-1,20,18,0.5910000000000002,1
32,5,1,17,18,0.7510000000000003,4
33,1,1,17,18,4.4270000000000005,3
33,2,-1,24,23,1.661999999999999,4
33,3,1,28,29,2.123000000000001,4
33,4,1,20,18,1.3219999999999992,3
33,5,1,25,24,1.2420000000000009,3
34,1,-1,18,20,11.807,2
34,2,1,17,18,7.931000000000001,2
34,3,-1,24,23,5.869,4
34,4,-1,29,28,5.937999999999995,4
34,5,1,25,24,4.957,3
35,1,1,29,28,10.244999999999996,2
35,2,1,24,25,4.055999999999997,2
35,3,-1,23,24,4.237,2
35,4,1,18,20,1.4420000000000002,4
35,5,-1,17,18,3.414999999999999,2
36,1,1,25,24,19.428,4
36,2,-1,18,17,3.4849999999999994,3
36,3,-1,29,28,3.4750000000000014,3
36,4,-1,18,20,2.463000000000001,4
36,5,-1,24,23,17.295,4
37,1,-1,24,23,3.854999999999997,1
37,2,1,28,29,3.545,1
37,3,-1,25,24,2.654,1
37,4,1,17,18,4.876999999999999,1
37,5,-1,18,20,0.8710000000000022,1
38,1,-1,24,23,4.646000000000001,2
38,2,-1,24,25,3.1640000000000006,3
38,3,-1,29,28,3.0950000000000006,3
38,4,1,17,18,1.9720000000000013,4
38,5,-1,18,20,3.785,4
39,1,-1,18,20,4.307000000000002,1
39,2,1,24,23,4.496,3
39,3,-1,29,28,7.311,3
39,4,1,24,25,3.215,2
39,5,-1,18,17,2.083000000000005,4
40,1,1,24,23,10.915999999999997,2
40,2,-1,28,29,3.725,4
40,3,1,18,20,0.8009999999999984,2
40,4,1,25,24,4.677,1
40,5,1,18,17,2.022999999999996,2
