participant,condition,conditionIndex,problem,burstPoint,burst,nPumps,problemOrder
3,p_burst_0.1,0,44,24,0,7,17
3,p_burst_0.1,0,45,21,0,7,12
3,p_burst_0.1,0,46,5,1,5,18
3,p_burst_0.1,0,47,1,1,1,31
3,p_burst_0.1,0,48,7,0,4,40
3,p_burst_0.1,0,49,4,1,4,16
3,p_burst_0.1,0,50,17,0,9,39
3,p_burst_0.2,1,1,1,1,1,46
3,p_burst_0.2,1,2,1,1,1,26
3,p_burst_0.2,1,3,8,0,3,48
3,p_burst_0.2,1,4,4,0,3,14
3,p_burst_0.2,1,5,4,1,4,41
3,p_burst_0.2,1,6,3,1,3,33
3,p_burst_0.2,1,7,5,0,3,22
3,p_burst_0.2,1,8,10,0,4,24
3,p_burst_0.2,1,9,5,0,3,20
3,p_burst_0.2,1,10,2,1,2,37
3,p_burst_0.2,1,11,1,1,1,2
3,p_burst_0.2,1,12,8,0,4,3
3,p_burst_0.2,1,13,1,1,1,29
3,p_burst_0.2,1,14,4,1,4,27
3,p_burst_0.2,1,15,3,1,3,36
3,p_burst_0.2,1,16,1,1,1,5
3,p_burst_0.2,1,17,4,0,3,38
3,p_burst_0.2,1,18,6,0,4,23
3,p_burst_0.2,1,19,24,0,3,4
3,p_burst_0.2,1,20,11,0,2,9
3,p_burst_0.2,1,21,29,0,3,25
3,p_burst_0.2,1,22,2,1,2,10
3,p_burst_0.2,1,23,2,1,2,6
3,p_burst_0.2,1,24,21,0,2,35
3,p_burst_0.2,1,25,4,1,4,32
3,p_burst_0.2,1,26,2,1,2,1
3,p_burst_0.2,1,27,12,0,3,11
3,p_burst_0.2,1,28,19,0,3,42
3,p_burst_0.2,1,29,5,0,3,13
3,p_burst_0.2,1,30,14,0,3,45
3,p_burst_0.2,1,31,3,1,3,7
3,p_burst_0.2,1,32,4,0,3,15
3,p_burst_0.2,1,33,2,1,2,47
3,p_burst_0.2,1,34,3,1,3,34
3,p_burst_0.2,1,35,1,1,1,19
3,p_burst_0.2,1,36,7,0,5,21
3,p_burst_0.2,1,37,4,0,3,28
3,p_burst_0.2,1,38,4,0,3,44
3,p_burst_0.2,1,39,4,0,3,43
3,p_burst_0.2,1,40,5,0,3,30
3,p_burst_0.2,1,41,5,0,4,50
3,p_burst_0.2,1,42,7,0,3,49
3,p_burst_0.2,1,43,1,1,1,8
3,p_burst_0.2,1,44,1,1,1,17
3,p_burst_0.2,1,45,4,1,4,12
3,p_burst_0.2,1,46,17,0,6,18
3,p_burst_0.2,1,47,1,1,1,31
3,p_burst_0.2,1,48,4,1,4,40
3,p_burst_0.2,1,49,13,0,3,16
3,p_burst_0.2,1,50,1,1,1,39
4,p_burst_0.1,0,1,1,1,1,23
4,p_burst_0.1,0,2,13,0,7,31
4,p_burst_0.1,0,3,7,0,6,32
4,p_burst_0.1,0,4,5,1,5,10
4,p_burst_0.1,0,5,18,0,6,35
4,p_burst_0.1,0,6,8,1,8,33
4,p_burst_0.1,0,7,5,1,5,38
4,p_burst_0.1,0,8,3,1,3,29
4,p_burst_0.1,0,9,1,1,1,43
4,p_burst_0.1,0,10,4,1,4,34
4,p_burst_0.1,0,11,30,0,8,3
4,p_burst_0.1,0,12,40,0,8,44
4,p_burst_0.1,0,13,2,1,2,27
4,p_burst_0.1,0,14,2,1,2,47
4,p_burst_0.1,0,15,27,0,9,18
4,p_burst_0.1,0,16,12,0,6,41
4,p_burst_0.1,0,17,19,0,7,50
4,p_burst_0.1,0,18,5,1,5,4
4,p_burst_0.1,0,19,23,0,5,7
4,p_burst_0.1,0,20,3,1,3,42
4,p_burst_0.1,0,21,1,1,1,9
4,p_burst_0.1,0,22,7,1,7,40
4,p_burst_0.1,0,23,4,1,4,37
4,p_burst_0.1,0,24,8,0,5,17
4,p_burst_0.1,0,25,17,0,8,16
4,p_burst_0.1,0,26,2,1,2,14
4,p_burst_0.1,0,27,4,1,4,8
4,p_burst_0.1,0,28,17,0,7,5
4,p_burst_0.1,0,29,5,1,5,49
4,p_burst_0.1,0,30,14,0,8,48
4,p_burst_0.1,0,31,2,1,2,46
4,p_burst_0.1,0,32,1,1,1,2
4,p_burst_0.1,0,33,15,0,10,39
4,p_burst_0.1,0,34,8,0,5,24
4,p_burst_0.1,0,35,13,0,8,13
4,p_burst_0.1,0,36,29,0,8,36
4,p_burst_0.1,0,37,16,0,7,11
4,p_burst_0.1,0,38,6,1,6,12
4,p_burst_0.1,0,39,2,1,2,45
4,p_burst_0.1,0,40,3,1,3,15
4,p_burst_0.1,0,41,21,0,9,21
4,p_burst_0.1,0,42,31,0,5,6
4,p_burst_0.1,0,43,4,1,4,26
4,p_burst_0.1,0,44,24,0,8,25
4,p_burst_0.1,0,45,21,0,8,20
4,p_burst_0.1,0,46,5,1,5,19
4,p_burst_0.1,0,47,1,1,1,28
4,p_burst_0.1,0,48,7,0,6,1
4,p_burst_0.1,0,49,4,1,4,30
4,p_burst_0.1,0,50,17,0,8,22
4,p_burst_0.2,1,1,1,1,1,23
4,p_burst_0.2,1,2,1,1,1,31
4,p_burst_0.2,1,3,8,1,8,32
4,p_burst_0.2,1,4,4,1,4,10
4,p_burst_0.2,1,5,4,1,4,35
4,p_burst_0.2,1,6,3,1,3,33
4,p_burst_0.2,1,7,5,1,5,38
4,p_burst_0.2,1,8,10,0,4,29
4,p_burst_0.2,1,9,5,1,5,43
4,p_burst_0.2,1,10,2,1,2,34
4,p_burst_0.2,1,11,1,1,1,3
4,p_burst_0.2,1,12,8,1,8,44
4,p_burst_0.2,1,13,1,1,1,27
4,p_burst_0.2,1,14,4,1,4,47
4,p_burst_0.2,1,15,3,1,3,18
4,p_burst_0.2,1,16,1,1,1,41
4,p_burst_0.2,1,17,4,0,3,50
4,p_burst_0.2,1,18,6,1,6,4
4,p_burst_0.2,1,19,24,0,8,7
4,p_burst_0.2,1,20,11,0,7,42
4,p_burst_0.2,1,21,29,0,8,9
4,p_burst_0.2,1,22,2,1,2,40
4,p_burst_0.2,1,23,2,1,2,37
4,p_burst_0.2,1,24,21,0,5,17
4,p_burst_0.2,1,25,4,1,4,16
4,p_burst_0.2,1,26,2,1,2,14
4,p_burst_0.2,1,27,12,1,12,8
4,p_burst_0.2,1,28,19,0,10,5
4,p_burst_0.2,1,29,5,1,5,49
4,p_burst_0.2,1,30,14,0,6,48
4,p_burst_0.2,1,31,3,1,3,46
4,p_burst_0.2,1,32,4,1,4,2
4,p_burst_0.2,1,33,2,1,2,39
4,p_burst_0.2,1,34,3,1,3,24
4,p_burst_0.2,1,35,1,1,1,13
4,p_burst_0.2,1,36,7,0,5,36
4,p_burst_0.2,1,37,4,1,4,11
4,p_burst_0.2,1,38,4,1,4,12
4,p_burst_0.2,1,39,4,1,4,45
4,p_burst_0.2,1,40,5,1,5,15
4,p_burst_0.2,1,41,5,1,5,21
4,p_burst_0.2,1,42,7,1,7,6
4,p_burst_0.2,1,43,1,1,1,26
4,p_burst_0.2,1,44,1,1,1,25
4,p_burst_0.2,1,45,4,1,4,20
4,p_burst_0.2,1,46,17,0,4,19
4,p_burst_0.2,1,47,1,1,1,28
4,p_burst_0.2,1,48,4,1,4,1
4,p_burst_0.2,1,49,13,0,4,30
4,p_burst_0.2,1,50,1,1,1,22
5,p_burst_0.1,0,1,1,1,1,50
5,p_burst_0.1,0,2,13,0,7,12
5,p_burst_0.1,0,3,7,1,7,29
5,p_burst_0.1,0,4,5,1,5,45
5,p_burst_0.1,0,5,18,0,7,24
5,p_burst_0.1,0,6,8,0,7,44
5,p_burst_0.1,0,7,5,1,5,35
5,p_burst_0.1,0,8,3,1,3,38
5,p_burst_0.1,0,9,1,1,1,37
5,p_burst_0.1,0,10,4,1,4,28
5,p_burst_0.1,0,11,30,0,7,27
5,p_burst_0.1,0,12,40,0,7,21
5,p_burst_0.1,0,13,2,1,2,3
5,p_burst_0.1,0,14,2,1,2,15
5,p_burst_0.1,0,15,27,0,4,26
5,p_burst_0.1,0,16,12,0,7,20
5,p_burst_0.1,0,17,19,0,7,33
5,p_burst_0.1,0,18,5,1,5,34
5,p_burst_0.1,0,19,23,0,7,40
5,p_burst_0.1,0,20,3,1,3,14
5,p_burst_0.1,0,21,1,1,1,1
5,p_burst_0.1,0,22,7,1,7,4
5,p_burst_0.1,0,23,4,1,4,48
5,p_burst_0.1,0,24,8,0,6,43
5,p_burst_0.1,0,25,17,0,7,47
5,p_burst_0.1,0,26,2,1,2,25
5,p_burst_0.1,0,27,4,1,4,5
5,p_burst_0.1,0,28,17,0,7,6
5,p_burst_0.1,0,29,5,1,5,13
5,p_burst_0.1,0,30,14,0,7,23
5,p_burst_0.1,0,31,2,1,2,36
5,p_burst_0.1,0,32,1,1,1,32
5,p_burst_0.1,0,33,15,0,7,31
5,p_burst_0.1,0,34,8,0,7,8
5,p_burst_0.1,0,35,13,0,7,18
5,p_burst_0.1,0,36,29,0,7,7
5,p_burst_0.1,0,37,16,0,6,16
5,p_burst_0.1,0,38,6,1,6,41
5,p_burst_0.1,0,39,2,1,2,39
5,p_burst_0.1,0,40,3,1,3,2
5,p_burst_0.1,0,41,21,0,7,30
5,p_burst_0.1,0,42,31,0,7,46
5,p_burst_0.1,0,43,4,1,4,11
5,p_burst_0.1,0,44,24,0,7,22
5,p_burst_0.1,0,45,21,0,5,9
5,p_burst_0.1,0,46,5,1,5,19
5,p_burst_0.1,0,47,1,1,1,10
5,p_burst_0.1,0,48,7,1,7,17
5,p_burst_0.1,0,49,4,1,4,49
5,p_burst_0.1,0,50,17,0,7,42
5,p_burst_0.2,1,1,1,1,1,50
5,p_burst_0.2,1,2,1,1,1,12
5,p_burst_0.2,1,3,8,0,7,29
5,p_burst_0.2,1,4,4,1,4,45
5,p_burst_0.2,1,5,4,1,4,24
5,p_burst_0.2,1,6,3,1,3,44
5,p_burst_0.2,1,7,5,1,5,35
5,p_burst_0.2,1,8,10,0,7,38
5,p_burst_0.2,1,9,5,1,5,37
5,p_burst_0.2,1,10,2,1,2,28
5,p_burst_0.2,1,11,1,1,1,27
5,p_burst_0.2,1,12,8,0,7,21
5,p_burst_0.2,1,13,1,1,1,3
5,p_burst_0.2,1,14,4,1,4,15
