participant,trial,reportIndex,report
1,80,6,Elaboration: Indicator based
1,80,7,Decision: Guess
1,81,1,Encoding
1,81,2,Encoding
1,81,3,Elaboration: Indicator based
1,81,4,Elaboration: Indicator based
1,81,5,Elaboration: Indicator based
1,81,6,Decision: Guess
1,82,1,Encoding
1,82,2,Encoding
1,82,3,Decision: No justification
1,83,1,Encoding
1,83,2,Encoding
1,83,3,Decision: No justification
1,84,1,Encoding
1,84,2,Encoding
1,84,3,Decision: No justification
1,85,1,Encoding
1,85,2,Encoding
1,85,3,Decision: No justification
1,86,1,Encoding
1,86,2,Encoding
1,86,3,Decision: No justification
1,87,1,Encoding
1,87,2,Encoding
1,87,3,Decision: No justification
1,88,1,Encoding
1,88,2,Encoding
1,88,3,Decision: Single Indicator
1,89,1,Encoding
1,89,2,Elaboration: Indicator based
1,89,3,Elaboration: Indicator based
1,89,4,Decision: No justification
1,90,1,Elaboration: Indicator based
1,90,2,Decision: No justification
1,91,1,Encoding
1,91,2,Encoding
1,91,3,Decision: No justification
1,92,1,Encoding
1,92,2,Encoding
1,92,3,Decision: No justification
1,93,1,Encoding
1,93,2,Encoding
1,93,3,Decision: No justification
1,94,1,Encoding
1,94,2,Elaboration: Indicator based
1,94,3,Elaboration: Indicator based
1,94,4,Elaboration: Indicator based
1,94,5,Decision: No justification
1,95,1,Encoding
1,95,2,Elaboration: Indicator based
1,95,3,Decision: No justification
1,96,1,Encoding
1,96,2,Elaboration: Indicator based
1,96,3,Decision: No justification
1,97,1,Encoding
1,97,2,Elaboration: Indicator based
1,97,3,Elaboration: Indicator based
1,97,4,Decision: No justification
1,98,1,Encoding
1,98,2,Encoding
1,98,3,Decision: No justification
1,99,1,Encoding
1,99,2,Elaboration: Indicator based
1,99,3,Decision: No justification
1,100,1,Encoding
1,100,2,Elaboration: Indicator based
1,100,3,Elaboration: Indicator based
1,100,4,Elaboration: Indicator based
1,100,5,Decision: No justification
1,101,1,Elaboration: Indicator based
1,101,2,Elaboration: Indicator based
1,101,3,Decision: No justification
1,102,1,Encoding
1,102,2,Elaboration: Indicator based
1,102,3,Elaboration: Indicator based
1,102,4,Decision: No justification
1,103,1,Search
1,103,2,Encoding
1,103,3,Elaboration: Indicator based
1,103,4,Elaboration: Indicator based
1,103,5,Elaboration: Indicator based
1,103,6,Decision: No justification
1,104,1,Encoding
1,104,2,Elaboration: Indicator based
1,104,3,Decision: No justification
1,105,1,Encoding
1,105,2,Encoding
1,105,3,Decision: No justification
1,106,1,Search
1,106,2,Encoding
1,106,3,Encoding
1,106,4,Elaboration: Indicator based
1,106,5,Decision: No justification
1,107,1,Encoding
1,107,2,Elaboration: Indicator based
1,107,3,Decision: No justification
1,108,1,Encoding
1,108,2,Encoding
1,108,3,Decision: No justification
1,109,1,Encoding
1,109,2,Elaboration: Indicator based
1,109,3,Elaboration: Indicator based
1,109,4,Decision: No justification
1,110,1,Encoding
1,110,2,Elaboration: Indicator based
1,110,3,Elaboration: Indicator based
1,110,4,Decision: No justification
1,111,1,Elaboration: Indicator based
1,111,2,Decision: No justification
1,112,1,Encoding
1,112,2,Encoding
1,112,3,Decision: No justification
1,113,1,Search
1,113,2,Encoding
1,113,3,Encoding
1,113,4,Metacognitive
1,113,5,Elaboration: Indicator based
1,113,6,Elaboration: Indicator based
1,113,7,Elaboration: Indicator based
1,114,1,Elaboration: Indicator based
1,114,2,Decision: No justification
1,115,1,Encoding
1,115,2,Encoding
1,115,3,Decision: No justification
1,116,1,Encoding
1,116,2,Encoding
1,116,3,Decision: No justification
1,117,1,Search
1,117,2,Encoding
1,117,3,Encoding
1,117,4,Elaboration: Indicator based
1,117,5,Decision: No justification
1,118,1,Encoding
1,118,2,Elaboration: Indicator based
1,118,3,Elaboration: Indicator based
1,118,4,Decision: No justification
1,119,1,Search
1,119,2,Encoding
1,119,3,Elaboration: Indicator based
1,119,4,Elaboration: Indicator based
1,119,5,Elaboration: Indicator based
1,119,6,Decision: No justification
1,120,1,Encoding
1,120,2,Elaboration: Indicator based
1,120,3,Elaboration: Indicator based
2,1,1,Search
2,1,2,Search
2,1,3,Search
2,1,4,Encoding
2,1,5,Encoding
2,1,6,Decision: No justification
2,2,1,Search
2,2,2,Search
2,2,3,Search
2,2,4,Encoding
2,2,5,Encoding
2,2,6,Evaluation
2,2,7,Decision: No justification
2,3,1,Search
2,3,2,Decision: Single Indicator
2,4,1,Search
2,4,2,Search
2,4,3,Encoding
2,4,4,Encoding
2,4,5,Evaluation
2,4,6,Decision: No justification
2,5,1,Search
2,5,2,Search
2,5,3,Encoding
2,5,4,Decision: No justification
2,6,1,Search
2,6,2,Decision: No justification
2,7,1,Search
2,7,2,Search
2,7,3,Encoding
2,7,4,Decision: No justification
2,8,1,Search
