participant,trial,alternative,cue,present,searchOrderWithin,searchOrderAll,searchTime
1,81,1,3,0,3,5,11.711000000000013
1,81,1,4,1,2,4,8.221000000000004
1,81,2,1,0,1,2,3.9420000000000073
1,81,2,3,0,3,6,13.077999999999975
1,81,2,4,0,2,3,6.782000000000153
1,82,1,1,1,1,1,4.773999999999887
1,82,2,1,0,1,2,7.9099999999998545
1,83,1,1,1,1,1,3.561000000000149
1,83,2,1,0,1,2,5.856999999999971
1,84,1,1,0,1,1,2.758000000000038
1,84,2,1,1,1,2,5.423999999999978
1,85,1,1,1,1,1,2.3599999999999
1,85,2,1,0,1,2,4.750999999999976
1,86,1,1,1,1,1,3.828000000000202
1,86,2,1,0,1,2,5.307999999999993
1,87,1,1,1,1,1,2.04300000000012
1,87,2,1,0,1,2,3.7070000000001073
1,88,1,1,0,1,1,3.2170000000000982
1,88,2,1,1,1,2,5.1590000000001055
1,89,1,1,0,1,1,1.6549999999999727
1,89,1,4,0,2,4,9.101999999999862
1,89,2,1,0,1,2,3.645999999999958
1,89,2,4,0,2,3,7.4220000000000255
1,90,1,1,0,1,1,2.0670000000000073
1,90,2,1,1,1,2,3.563999999999851
1,91,1,1,1,1,1,2.1310000000000855
1,91,2,1,0,1,2,3.8989999999998872
1,92,1,1,1,1,1,1.5419999999999163
1,92,2,1,0,1,2,3.4700000000000273
1,93,1,1,0,1,1,1.5340000000001055
1,93,2,1,1,1,2,3.421000000000049
1,94,1,1,0,1,1,2.7970000000000255
1,94,1,4,0,2,4,12.554000000000087
1,94,2,1,0,1,2,6.581000000000131
1,94,2,4,1,2,3,11.373000000000047
1,95,1,1,0,1,1,2.321999999999889
1,95,2,1,1,1,2,3.93100000000004
1,96,1,1,0,1,1,3.6259999999999764
1,96,2,1,1,1,2,5.138000000000147
1,97,1,1,0,1,1,1.9489999999998417
1,97,1,4,1,2,4,7.892999999999802
1,97,2,1,0,1,2,3.4279999999998836
1,97,2,4,1,2,3,6.427999999999884
1,98,1,1,0,1,1,3.201999999999998
1,98,2,1,1,1,2,4.826000000000022
1,99,1,1,1,1,2,3.344000000000051
1,99,2,1,0,1,1,1.7200000000000273
1,100,1,1,0,1,1,1.6580000000001291
1,100,1,3,0,3,5,11.506000000000085
1,100,1,4,0,2,4,7.83400000000006
1,100,2,1,0,1,2,3.09900000000016
1,100,2,3,1,3,6,12.970000000000027
1,100,2,4,1,2,3,6.3940000000000055
1,101,1,1,1,1,1,1.4939999999999145
1,101,1,4,0,2,4,9.950000000000045
1,101,2,1,1,1,2,2.933999999999969
1,101,2,4,1,2,3,8.557999999999993
1,102,1,1,0,1,1,2.451999999999998
1,102,1,4,0,2,4,11.226999999999862
1,102,2,1,0,1,2,5.539999999999964
1,102,2,4,1,2,3,9.954999999999927
1,103,1,1,1,1,1,2.7059999999999036
1,103,1,3,1,3,5,12.088999999999942
1,103,1,4,0,2,4,8.832999999999856
1,103,2,1,1,1,2,4.192999999999984
1,103,2,3,0,3,6,13.56399999999985
1,103,2,4,0,2,3,7.208999999999833
1,104,1,1,0,1,1,3.782000000000153
1,104,2,1,1,1,2,7.101000000000113
1,105,1,1,0,1,1,5.970000000000027
1,105,2,1,1,1,2,7.801000000000158
1,106,1,1,1,1,1,2.8350000000000364
1,106,1,4,0,2,3,11.019000000000005
1,106,2,1,1,1,2,4.722999999999956
1,106,2,4,0,2,4,12.867999999999938
1,107,1,1,0,1,1,1.7110000000000127
1,107,2,1,1,1,2,3.7280000000000655
1,108,1,1,1,1,1,1.7709999999999582
1,108,2,1,0,1,2,7.578999999999951
1,109,1,1,1,1,1,3.8889999999998963
1,109,1,4,1,2,4,10.888999999999896
1,109,2,1,1,1,2,5.8409999999998945
1,109,2,4,1,2,3,9.461999999999989
1,110,1,1,1,1,1,1.95699999999988
1,110,1,4,1,2,4,8.309999999999945
1,110,2,1,1,1,2,3.660999999999831
1,110,2,4,0,2,3,6.877999999999929
1,111,1,1,0,1,1,1.6849999999999454
1,111,2,1,1,1,2,3.1440000000000055
1,112,1,1,0,1,1,2.04300000000012
1,112,2,1,1,1,2,3.688000000000102
1,113,1,1,0,1,1,3.125
1,113,1,2,1,4,7,16.132000000000062
1,113,1,3,1,3,5,12.7650000000001
1,113,1,4,0,2,4,10.229000000000042
1,113,2,1,0,1,2,4.644999999999982
1,113,2,3,1,3,6,14.173999999999978
1,113,2,4,1,2,3,8.308999999999969
